old_spec	req	scen	lines	disposition	primary_target	confidence	evidence	reviewer	note	product_hits	nonproduct_hits	score	band
authentication	11	33	358	SPLIT	stories/maintain-authenticated-session	medium	2 KEEP (frontend session-refresh/re-auth UX, both folded into one story) + 9 OUT (8 design-doc backend JWT/JWKS/middleware architecture cross-cutting like CORS, 1 runbook health-check probe access); no fan/organizer actor in the backend auth plumbing		backend/docs/design/authentication-middleware.md (JWT validation, JWKS caching, authn-go middleware, webhook JWT verification); health-check probe access is a K8s ops concern	90	2	88	KEEP?
auto-concert-discovery	7	18	146	SPLIT	components/usecase/concert/search-new-concerts	medium	2 KEEP (organizer-exclusion business rule + Gemini response resilience, both fold into ConcertUseCase.SearchNewConcerts) + 5 OUT (3 design-doc DI/NATS JetStream config, 2 runbook CronJob exit-code/circuit-breaker mechanics); no user actor in the job mechanics		cloud-provisioning/docs/runbooks/auto-concert-discovery-job.md (CronJob DI, exit semantics, circuit breaker); NATS consumer config -> backend/docs/design/jetstream-consumer.md	89	0	89	KEEP?
auto-discovery-series-grouping	8	20	153	SPLIT	components/usecase/concert/create-from-discovered	high	7 requirements govern ConcertCreationUseCase.CreateFromDiscovered grouping/dedup logic; 1 governs AdminConcertUseCase.Approve preserving series identity			123	0	123	KEEP?
backend-otel-instrumentation	5	13	97	OUT:design-doc		high	all 5 requirements are telemetry/tracing instrumentation with no user actor		backend/docs/design/otel-instrumentation.md	20	0	20	KEEP?
backend-service-exposure	3	5	37	OUT:runbook		high	All 3 reqs describe K8s Service discoverability, protocol advertisement, and health-check wiring for the backend Service; ops-only		cloud-provisioning/docs/runbooks/backend-service-exposure.md	0	4	-4	OUT?
beam-effect-toggle	1	5	52	KEEP	components/infrastructure/ui/fan/global/fab-menu	medium	single requirement: beam toggle contributed to the FAB action launcher panel (vocabulary name: fab-menu)			26	2	24	KEEP?
billing-export-infrastructure	5	8	74	SPLIT		high	5 requirements provision a BigQuery billing-export dataset/IAM and document Console-side enablement steps; no fan/organizer/admin observes any of it		cloud-provisioning/docs/runbooks/billing-export.md	3	21	-18	OUT?
bottom-sheet-ce	1	28	200	KEEP	components/infrastructure/ui/fan/global/bottom-sheet	high	The single requirement (28 scenarios) fully describes the bottom-sheet global CE, the single dialog primitive used across routes			38	6	32	KEEP?
brand-vocabulary	9	25	201	SPLIT	components/infrastructure/locale/brand-vocabulary	medium	5 KEEP (user-facing vocabulary/copy governance: two-layer model, asymmetric labels, deprecated-term ban, brand-expression registry, hype-tier labels — all under locale infra) + 4 OUT:lint (i18n key-naming mechanics and CI lint-script enforcement, dev-facing only)		frontend/docs/conventions/i18n-key-naming.md (namespace-mirroring rule, locale-parity/entity-name lint checks, make-lint integration)	85	10	75	OUT?(plan)
browser-locale-detection	2	4	42	KEEP	components/infrastructure/locale/country-from-timezone	medium	Both requirements describe a non-UI locale-detection utility, kind=locale, name proposed			5	0	5	KEEP?
bubble-pool-lifecycle	5	14	119	SPLIT	components/infrastructure/ui/fan/route/discovery	high	4 requirements describe Discovery-page bubble pool UX; 1 governs the ListSimilar/ListTop RPC limit parameter shared by ArtistService			123	0	123	KEEP?
bubble-replenishment	1	3	26	KEEP	components/infrastructure/ui/fan/route/discovery	high	The single requirement describes discovery-canvas bubble replenishment behavior on the discovery route			30	0	30	KEEP?
bubble-state-management	7	19	132	KEEP	components/infrastructure/ui/fan/route/discovery	high	All 7 requirements describe BubbleManager/physics-layer behavior scoped to the discovery route			82	0	82	KEEP?
bulk-insert-unnest	2	5	37	OUT:design-doc	-	high	2/2 requirements are repository-layer SQL insert strategy, no user actor		backend internal docs (repository bulk-insert pattern)	36	0	36	KEEP?
card-logo-presentation	4	6	42	KEEP	components/infrastructure/ui/fan/global/live-highway	high	all 4 requirements describe artist logo/text rendering inside the shared live-highway event card			26	0	26	KEEP?
certificate-manager-integration	6	9	62	OUT:runbook		high	All 6 reqs describe Google Certificate Manager TLS provisioning, DNS validation, and renewal for the Gateway; ops-only, no user actor		cloud-provisioning/docs/runbooks/certificate-manager.md	7	1	6	OUT?(plan)
ci-optimization	11	22	145	SPLIT		high	All eleven requirements are CI workflow/branch-protection mechanics with no user actor; one (gofmt) is OUT:lint, the rest OUT:runbook.		backend/docs/runbooks/ci.md and frontend/docs/runbooks/ci.md	6	66	-60	OUT?
cloud-dns-infrastructure	5	13	87	OUT:design-doc		high	All 5 requirements are Pulumi/Cloudflare DNS provisioning decisions for cloud-provisioning infra, no product-user actor		cloud-provisioning/docs/design/dns.md	1	28	-27	OUT?
cloud-sql-connector	5	6	69	OUT:runbook		high	All 5 reqs describe backend database connectivity (Cloud SQL Connector vs local pgx, schema config, Auth Proxy) with no user actor		backend/docs/runbooks/cloud-sql-connector.md	0	6	-6	OUT?
commit-gate-hook	3	4	43	OUT:runbook		high	all 3 reqs govern AI-agent dev-tooling (commit gate hook, skill removal, doc updates); no product user actor		docs/runbooks/commit-gate-hook.md (one req, code-verifier skill removal, is a one-time obsolete cleanup task with no destination doc)	3	0	3	REVIEW
component-smoke-tests	3	9	67	OUT:delete		high	Aurelia component mount, DI mock registry, and E2E console-error smoke-test mechanics; no user actor		frontend/test-plans (test/CI inventory, discard from openspec)	5	8	-3	OUT?
concert-approval-queue	10	31	346	KEEP	components/usecase/concert/approve	medium	Nine of ten requirements map cleanly onto AdminConcertUseCase (approve/reject/delete/list-pending) and the discovery pipeline (SearchNewConcerts/CreateFromDiscovered); only the admin console UI has no vocabulary entry			369	0	369	KEEP?
concert-detail	5	28	215	KEEP	components/infrastructure/ui/fan/route/dashboard	high	All five requirements describe the concert-detail sheet and lane logic anchored to the dashboard route's /concerts/:id URL and its ListByFollowerGrouped RPC			229	4	225	KEEP?
concert-highway-ce	2	8	64	KEEP	components/infrastructure/ui/fan/global/live-highway	high	Both reqs describe the concert-highway CE (vocabulary target: live-highway), the shared 3-column lane grid and its per-frame beam-tracking performance			30	3	27	KEEP?
concert-search	7	37	295	KEEP	components/usecase/concert/search-new-concerts	medium	all 7 requirements describe SearchNewConcerts' RPC contract and its dedup/extraction logic			270	0	270	KEEP?
concert-search-internals	5	9	81	OUT:lint		high	All 5 reqs are Go Clean-Architecture import-boundary and test-methodology rules for internal/usecase; no user actor observes any of them		backend/AGENTS.md (Clean Architecture & testing conventions)	45	1	44	KEEP?
concert-search-log	4	13	101	SPLIT	components/usecase/concert/search-new-concerts	medium	3 KEEP (2 under search-new-concerts, 1 story proposal for onboarding polling) + 1 OUT:design-doc (table schema)		-	115	0	115	KEEP?
concert-service	15	57	432	SPLIT	components/usecase/concert/list-by-artist	medium	13 KEEP split across concert usecases (approve x2, search-new-concerts x2, list-by-artist x2, list-by-artists x1, list-by-follower-grouped x1, list-by-location x1) and entity invariants (event x2, concert x1, venue x1) — approve/search-new-concerts/list-by-artist/entity-event are tied at 2 requirements each; 1 OUT:design-doc (GKE Gateway timeoutSec) + 1 DROP:obsolete (completed one-time dedup migration)		GKE Gateway timeout req -> cloud-provisioning/docs/design/concert-service-gateway-timeout.md; the obsolete migration requirement has no destination (discard)	461	3	458	KEEP?
connect-rpc-cors	5	8	55	SPLIT		high	backend Connect-RPC CORS middleware configuration; no user actor		backend/internal/... CORS middleware config (discard from openspec)	6	0	6	KEEP?
consumer-poison-queue-alerting	2	6	54	OUT:runbook		high	NATS poison-queue consumer logging and Cloud Monitoring alert policy; no user actor		backend ops runbook / cloud-provisioning alert policy (discard from openspec)	7	0	7	KEEP?
continuous-delivery	9	10	103	OUT:runbook		high	all 9 requirements are ArgoCD/GitOps CI-CD provisioning mechanics (manifests, root app, image build, WIF auth, migration sync wave); no fan/organizer actor		cloud-provisioning/docs/runbooks/continuous-delivery.md	6	39	-33	OUT?
coordinates-vo	1	7	61	KEEP	components/entity/coordinates	high	Single requirement maps directly to the Coordinates entity			54	0	54	KEEP?
css-linting	9	27	149	OUT:lint		high	All 9 requirements are Stylelint rule definitions (color functions, logical properties, container queries, anti-patterns, ordering, at-rules, stacking, a11y, CI wiring)		frontend/stylelint.config.js (existing tool config, no separate doc needed)	31	57	-26	OUT?
css-state-management	8	21	148	OUT:lint		high	all 8 requirements are the TS/template/CSS three-layer coding convention described in the spec Purpose; no user actor		frontend coding conventions doc (CSS state-management three-layer contract)	3	4	-1	REVIEW
cube-css-architecture	11	33	229	SPLIT	-	high	11/11 requirements are OUT (10 lint, 1 design-doc); CUBE CSS layer/file conventions enforced via stylelint, no user actor		frontend/stylelint-plugin-cube-css docs (CSS architecture conventions)	24	32	-8	OUT?(plan)
cube-css-layer-constraints	5	24	119	OUT:lint	-	high	5/5 requirements are stylelint rule definitions (cube/exception-data-attr etc.), no user actor		frontend/stylelint-plugin-cube-css docs (layer constraint rules)	1	33	-32	OUT?
cube-css-layer-enforcement	2	11	57	OUT:lint		high	both requirements define a stylelint custom rule (require-layer, layer-order); no user actor		frontend stylelint plugin config (already implemented; no separate doc)	31	26	5	REVIEW
cube-css-lint-plugin	4	6	43	OUT:lint	-	high	4/4 requirements describe the stylelint plugin's own implementation, no user actor		frontend/stylelint-plugin-cube-css docs (plugin architecture)	5	17	-12	OUT?
cube-css-modern-css-rules	3	12	64	OUT:lint		high	3 stylelint custom rules for CSS authoring; no user actor		frontend stylelint plugin config (already implemented; no separate doc)	0	17	-17	OUT?
cube-css-structural-rules	3	13	68	OUT:lint		high	stylelint rule definitions for the CUBE CSS block layer; no user actor		frontend/.stylelint-plugin (lint rule config, discard from openspec)	0	18	-18	OUT?
cube-css-token-enforcement	6	20	106	OUT:lint		high	All 6 reqs define the cube/require-token-variables stylelint rule's behavior and configuration; no user actor observes a lint rule		frontend/AGENTS.md or a stylelint-plugin-cube-css doc (design-token enforcement rule)	3	24	-21	OUT?
dashboard-artist-filter	6	27	183	KEEP	components/infrastructure/ui/fan/route/dashboard	high	All six requirements are fan-observable dashboard filtering behavior (route, fab-menu, bottom-sheet).			259	0	259	KEEP?
dashboard-concert-cache	4	11	75	KEEP	components/infrastructure/ui/fan/route/dashboard	high	all 4 requirements describe the Dashboard route's in-memory concert/follow caching			92	0	92	KEEP?
dashboard-date-filter	4	10	84	KEEP	components/infrastructure/ui/fan/route/dashboard	high	all 4 requirements describe the Dashboard route's date query-param filter			63	0	63	KEEP?
dashboard-journey-filter	5	21	111	KEEP	components/infrastructure/ui/fan/route/dashboard	high	all 5 requirements are dashboard route / shared filter-sheet UI behavior			119	0	119	KEEP?
database	4	7	79	SPLIT		high	all 4 reqs govern migration ordering, Cloud SQL availability tier, schema placement, and a column-design convention; purely infra/ops, no user actor		cloud-provisioning/docs/runbooks/database.md (design-flavored reqs -> cloud-provisioning/docs/design/database.md: dedicated app schema, no metadata timestamp columns)	16	12	4	REVIEW
database-migration	5	8	77	SPLIT	-	high	4/5 design-doc (startup migration mechanics) + 1/5 lint (CI ordering check); backend deployment mechanics, no user actor		backend internal docs (migration runtime behavior)	7	6	1	REVIEW
db-trace-correlation	4	11	91	OUT:design-doc		high	all 4 requirements are DB query tracing/telemetry with no user actor		backend/docs/design/db-trace-correlation.md	6	3	3	REVIEW
deployment-infrastructure	10	13	120	OUT:runbook		high	All 10 reqs describe Pulumi Cloud Deployments OIDC/WIF setup, CD namespaces, and dev-overlay scheduling knobs; no user actor (7 OUT:runbook, 3 OUT:delete for CI-flow mechanics)		cloud-provisioning/docs/runbooks/pulumi-deployment.md	9	40	-31	OUT?
design-system	9	40	285	NEEDS_HUMAN	components/infrastructure/ui/fan/global/svg-icon	medium	3 of 9 requirements KEEP onto existing global components (svg-icon, state-placeholder, snack-bar); 4 are OUT (tokens/fonts/transitions/type-scale, all design tokens excluded per spec Purpose); Page Shell Component has no matching vocabulary surface		frontend/docs/design-tokens.md for OUT items; Page Shell Component needs a vocabulary decision (new global surface vs merge into page-header)	47	41	6	OUT?(plan)
dev-db-access	4	5	61	OUT:runbook		high	Entire spec is a developer/agent-only Cloud SQL Auth Proxy access procedure, no fan/organizer actor		backend/docs/dev-db-access.md	6	13	-7	OUT?
discover	5	18	126	KEEP	components/infrastructure/ui/fan/route/discovery	high	all 5 requirements are Discover-tab route behavior			131	1	130	KEEP?
discovery-bubble-cache	2	9	62	KEEP	components/infrastructure/ui/fan/route/discovery	medium	Both requirements describe fan-observable bubble-field caching behavior on the discovery route.			59	0	59	KEEP?
discovery-tap-sonic-feedback	3	8	63	KEEP	components/infrastructure/ui/fan/route/discovery	high	All three requirements describe discovery-route tap/absorption audio feedback			25	0	25	KEEP?
dna-orb-color-injection	2	6	56	KEEP	components/infrastructure/ui/fan/global/dna-orb	high	Both requirements describe OrbRenderer behavior of the shared dna-orb component			31	0	31	KEEP?
e2e-auth-testing	5	7	84	OUT:runbook		high	All 5 reqs describe Playwright MCP session capture and storageState/credential hygiene for E2E test automation; developer-tooling, no product user actor		frontend/docs/runbooks/e2e-auth-testing.md	35	11	24	REVIEW
edit-mode-unfollow	3	14	103	KEEP	components/infrastructure/ui/fan/route/my-artists	high	All 3 reqs describe the My Artists route's Edit-mode toggle, per-row remove controls, their accessibility, and the optimistic unfollow/Undo UX			79	0	79	KEEP?
email-provider	5	7	74	SPLIT		high	Postmark/Zitadel SMTP provisioning, DNS/DKIM infra, and credential separation; no user actor		cloud-provisioning/src/zitadel (SMTP infra provisioning, discard from openspec)	6	14	-8	OUT?
email-verification	2	14	110	KEEP	components/infrastructure/email/verification	medium	"Both requirements route through EmailVerifier and are grouped under the email infra kind (name proposed as ""verification"")"			78	0	78	KEEP?
entity-domain-logic	18	76	567	NEEDS_HUMAN	components/entity/concert	medium	Mostly clean entity invariants (Home/Hype/Proximity/Concert/Artist/Venue/Notification) plus two DROP:historic blockchain-ticket leftovers (GenerateTokenID, ValidateEthereumAddress), one OUT:lint type-alias, and one NEEDS_HUMAN status-mapping mismatch against the current TicketJourneyStatus enum			369	0	369	KEEP?
entity-store-layer	4	16	150	NEEDS_HUMAN	stories/preserve-guest-activity-on-sign-up	low	Mixes an internal store-architecture mandate (OUT:design-doc) with two user-observable guarantees (guest-data continuity as a story, ticket-journey sync via SetStatus) and one ambiguous resilience requirement (NEEDS_HUMAN)			109	0	109	KEEP?
entity-test-coverage	18	31	192	NEEDS_HUMAN		high	17 of 18 requirements are pure unit-test-coverage or apperr coding conventions with named functions/types (isHypeMatched, hasFollow, HYPE_TIERS, etc.); SafePredictor is an internal dependency-direction convention		backend AGENTS.md / go-tester skill testing standards; frontend entity test conventions	29	2	27	KEEP?
event-card-glow	1	1	17	KEEP	components/infrastructure/ui/fan/global/live-highway	medium	The single requirement describes a real visual behavior of the (vocabulary-unmapped) event-card component; no ui/global vocabulary entry exists for event-card			5	0	5	KEEP?
event-management	7	22	189	SPLIT	components/entity/event	high	6/7 reqs are entity invariants for Event/Concert/Series (fields, identity, aggregation, embedding); 1 req (trace context propagation) is a telemetry cross-cutting concern with no user actor		backend/docs/design/event-management.md (OUT-portion: Trace context propagation across message broker)	271	1	270	KEEP?
fab-action-launcher	7	21	200	KEEP	components/infrastructure/ui/fan/global/fab-menu	high	all 7 requirements describe the fab-menu global component shared across routes			45	1	44	KEEP?
feature-flag-management	5	10	85	OUT:design-doc		medium	3 OUT:design-doc (cross-cutting flag-evaluation policy) + 2 OUT:runbook (engineering process); no fan/organizer actor in any requirement		product-analytics/docs/feature-flag-governance.md	37	0	37	KEEP?
festival-orb-effects	17	71	415	SPLIT	components/infrastructure/ui/fan/global/dna-orb	high	14/17 requirements describe dna-orb rendering/effects behavior; 3 are unit-test-coverage requirements with no user actor		n/a (discarded; unit-test-coverage requirements have no openspec destination)	125	1	124	KEEP?
follow-triggered-search	3	6	40	KEEP	components/usecase/follow/follow	high	All 3 reqs describe FollowUseCase.Follow's background concert-search trigger on first follow and its non-blocking error handling			89	0	89	KEEP?
frontend-client-rpc-telemetry	6	7	73	OUT:design-doc	-	high	6/6 requirements are cross-cutting RPC telemetry; tie-break rule routes telemetry to OUT		frontend internal docs (RPC telemetry design)	8	0	8	KEEP?
frontend-entity-layer	7	17	104	SPLIT	components/infrastructure/ui/fan/route/my-artists	medium	5 OUT:design-doc (frontend proto-mapping architecture, no user actor) + 2 KEEP (my-artists route, locale infra)		frontend/docs/design/entity-layer.md	218	0	218	KEEP?
frontend-error-handling	6	18	144	SPLIT	components/infrastructure/ui/fan/global/error-banner	medium	5 of 6 requirements KEEP under error-banner/toast (global error UI and recovery feedback); the promise.bind requirement is OUT as a generic coding convention			47	1	46	KEEP?
frontend-hosting	11	27	223	SPLIT		high	all 11 reqs describe container build, Kubernetes/Caddy/Gateway deployment, DNS/TLS, and post-deploy verification mechanics; no fan/organizer/admin actor observes any of it		cloud-provisioning/docs/runbooks/frontend-hosting.md (design-flavored reqs -> cloud-provisioning/docs/design/frontend-hosting.md: SPA routing, Caddyfile configuration, /config.json header)	25	65	-40	OUT?
frontend-i18n	12	31	257	SPLIT	components/infrastructure/locale/language-switching	medium	Mix of KEEP (locale-detection, language-switching, date/number formatting) and OUT:lint (string-externalization/key-naming conventions) plus one DROP:historic.		frontend/docs/conventions/i18n-string-externalization.md	86	7	79	KEEP?
frontend-network-timeouts	4	8	75	NEEDS_HUMAN	components/infrastructure/service-worker/analytics-capture-timeout	medium	2 of 4 reqs (Service-Worker fetch timeouts for analytics capture and VAPID-key fetch) map to the service-worker infra kind; the other 2 (main-thread shared-transport RPC deadline, its runtime config) are cross-app and have no matching networking/transport infra kind in vocabulary			12	0	12	KEEP?
frontend-observability	3	13	89	OUT:design-doc		high	All three requirements describe OTEL/telemetry wiring (WebTracerProvider, ConnectError spans, OtelLogSink) with no user actor		frontend/docs/design/otel-observability.md	3	0	3	REVIEW
frontend-onboarding-flow	3	16	124	KEEP	stories/complete-onboarding	medium	2 of 3 reqs (single-flag onboarding state, final transparency-notice step) describe the cross-route onboarding-completion story; 1 (bubble-network discovery UI) is scoped to the discovery route			157	1	156	KEEP?
frontend-performance-instrumentation	3	3	30	OUT:runbook		high	PostHog performance telemetry (long animation frames, Core Web Vitals, slow interactions); telemetry is explicitly OUT per the cross-cutting tie-break rule		frontend observability telemetry (discard from openspec)	11	0	11	KEEP?
frontend-plain-date-lib	6	13	116	NEEDS_HUMAN		high	All 6 reqs define the internal calendar-arithmetic library's API contract, engine-equivalence testing, and build-time engine selection; no user actor observes the library boundary itself		frontend/src/lib/plain-date design rationale (no existing doc file identified); not a spec surface	4	3	1	REVIEW
frontend-route-guard	3	6	63	KEEP	stories/roam-app-as-guest	medium	all 3 requirements describe the global AuthHook's guest free-roam navigation behavior (dashboard/settings/welcome reachability), proposed as one story spanning all routes			61	0	61	KEEP?
frontend-router-query-params	1	3	23	OUT:lint	-	high	1/1 requirement is a coding convention for testable query-param access, no user actor		frontend internal docs (router coding conventions)	7	0	7	KEEP?
frontend-runtime-config	6	18	156	NEEDS_HUMAN	components/infrastructure/ui/fan/global/app-shell	low	5 of 6 requirements are bootstrap config-loading mechanics with no user actor (OUT:design-doc); the static bootstrap-failure error page is user-visible but has no matching ui/global vocabulary entry (it bypasses Aurelia entirely)		candidate OUT destination: frontend/docs or specification design note on runtime config contract; error-page requirement needs a human decision	15	5	10	REVIEW
frontend-store-cache	6	17	111	OUT:design-doc		high	All 6 requirements define an internal Aurelia store caching primitive (stale-while-revalidate, key composition, invalidation) with no distinct user-facing surface		frontend design doc for the store-cache primitive	108	0	108	KEEP?
frontend-testing	45	138	707	NEEDS_HUMAN	components/infrastructure/ui/fan/route/discovery	low	Of 45 reqs: 26 are test-infrastructure/mock/cleanup conventions (OUT:lint) and 1 is an implementation-detail utility (OUT:design-doc); 10 turned out to be real product behavior misfiled under this testing capability (dashboard/discovery routes; toast, live-highway, error-banner, bottom-nav-bar global surfaces); 8 describe product-adjacent behavior (event-card, event-detail-sheet, auth guard/interceptors, gRPC transport) with no matching vocabulary target		frontend Vitest/Aurelia testing-conventions doc (e.g. frontend/AGENTS.md) for the OUT:lint portion	305	38	267	OUT?(plan)
gcp-cost-guardrails	3	10	68	OUT:runbook		high	All 3 requirements are GCP Pulumi cost-guardrail resources (quota overrides, billing budget alerts), pure ops		cloud-provisioning/docs/runbooks/cost-guardrails.md	22	13	9	REVIEW
gemini-grounded-extract-and-coerce	19	46	407	SPLIT	components/usecase/concert/search-new-concerts	high	All 19 requirements describe ConcertSearcher's internal two-step Gemini call pipeline (tool configs, XML/JSON envelope shapes, merge/dedup algorithms, A/B harness) — implementation detail of the backend gemini adapter, not directly observed by fans/organizers		backend/internal/infrastructure/gcp/gemini/design.md	169	3	166	KEEP?
gemini-searcher-config	5	18	138	OUT:design-doc	-	high	5/5 requirements are internal Gemini model/cache/window config wiring, no user actor observes model selection		backend internal config docs (gemini searcher configuration)	38	4	34	KEEP?
geo-location	2	6	52	KEEP	components/entity/geo-location	high	both requirements define entity.v1.GeoLocation fields and validation			24	0	24	KEEP?
gke-gateway-infrastructure	6	8	58	OUT:design-doc		high	6 requirements define GKE Gateway API resources (listeners, HTTPRoute, GatewayClass, cross-namespace routing, cert annotation, policy attachment); no fan/organizer/admin observes any of it		cloud-provisioning/docs/decisions/gke-gateway-infrastructure.md	3	14	-11	OUT?
gke-standard-infrastructure	8	19	117	OUT:design-doc		high	All 8 reqs are GKE cluster/node-pool/networking provisioning decisions for the dev environment; no user (fan/organizer) actor observes any of them		cloud-provisioning/docs/infrastructure/gke-dev-cluster.md	8	34	-26	OUT?
goroutine-leak-detection	3	8	58	OUT:runbook		high	All three requirements are backend operator-facing profiling/alerting with no fan or organizer actor.		backend/docs/runbooks/goroutine-leak-detection.md	4	2	2	REVIEW
guest-data-merge	4	14	143	KEEP	stories/merge-guest-data-on-signup	medium	All 4 reqs (guest storage during onboarding, hype merge, data merge on authentication, cleanup) describe one cross-route story: syncing guest session data to the backend account on signup			119	1	118	KEEP?
guest-mode-access	3	6	56	KEEP	stories/roam-app-as-guest	low	2 of 3 requirements are cross-route policies with no clean vocabulary target (route guard/hidden-features pattern); 1 KEEP (settings route)			64	0	64	KEEP?
http-retry	8	24	156	NEEDS_HUMAN		low	backend HTTP client retry/backoff policy; no user actor for 7/8 requirements (OUT:design-doc/runbook); the auth-token-refresh interceptor requirement is user-visible but has no matching vocabulary target		backend/pkg/api retry policy and diagnostic capture; OUT rows have no openspec destination (design-doc/runbook, discard)	19	0	19	KEEP?
hype-inline-slider	4	12	115	KEEP	components/infrastructure/ui/fan/route/my-artists	high	4/4 requirements are My Artists route behavior (hype slider + header legend)		-	69	0	69	KEEP?
