old_spec	old_req_name	scen_idx	scen_hash	scen_title	routing	verified_by
admin-rpc-server	Dedicated admin API ingress host	2	b72d0d30	Admin Service is internal and h2c with a health check	FOLLOW_PARENT	
admin-rpc-server	Admin console resolves the admin API host from runtime config	0	b53d8164	Admin client targets the admin API host	FOLLOW_PARENT	
admin-rpc-server	Admin console resolves the admin API host from runtime config	1	45501a1a	Consumer client unchanged	FOLLOW_PARENT	
analytics-consent	Analytics operates under an EU-adequacy opt-out model, not a consent gate	0	fb254ae2	Authenticated user is analysed by default	FOLLOW_PARENT	
analytics-consent	Analytics operates under an EU-adequacy opt-out model, not a consent gate	1	2a3f531c	Purpose of use is published rather than gated	FOLLOW_PARENT	
analytics-consent	Settings exposes Analytics and Session-replay opt-out toggles	0	e71027f8	Both toggles default to on	FOLLOW_PARENT	
analytics-consent	Settings exposes Analytics and Session-replay opt-out toggles	1	56a7cdd5	User disables session replay but keeps event analytics	FOLLOW_PARENT	
analytics-consent	Full non-PII catalogue is captured anonymously before identification	0	761b0f5f	Anonymous visitor's full discovery behaviour is captured	FOLLOW_PARENT	
analytics-consent	Full non-PII catalogue is captured anonymously before identification	1	15cbc199	Opted-out authenticated user generates no telemetry	FOLLOW_PARENT	
analytics-consent	Anonymous behaviour is merged into the identified profile on login	0	f9788322	Pre-signup discovery connects to post-signup conversion	FOLLOW_PARENT	
analytics-consent	Sensitive personal information is structurally excluded; minor-user legality is deferred to legal review	0	8e5c6692	A sensitive property is rejected before emission	FOLLOW_PARENT	
analytics-consent	Sensitive personal information is structurally excluded; minor-user legality is deferred to legal review	1	bc873284	Session replay never records a sensitive region	FOLLOW_PARENT	
analytics-consent	Analytics opt-out state is persisted and user-controllable from settings	0	a26626a4	User opts out of analytics from settings	FOLLOW_PARENT	
analytics-consent	Analytics opt-out state is persisted and user-controllable from settings	1	35010e23	User re-enables analytics after opting out	FOLLOW_PARENT	
apex-frontend-serving	Apex hostname SHALL be served end-to-end via the GKE Gateway with a Google-managed TLS certificate	0	ddf1f74e	Apex A record resolves to the shared prod static IP	FOLLOW_PARENT	
apex-frontend-serving	Apex hostname SHALL be served end-to-end via the GKE Gateway with a Google-managed TLS certificate	1	9009d786	Apex receives a Google-managed Certificate scoped to the single hostname	FOLLOW_PARENT	
apex-frontend-serving	Apex hostname SHALL be served end-to-end via the GKE Gateway with a Google-managed TLS certificate	2	d50971ae	Apex certificate bound to the shared certificate map	FOLLOW_PARENT	
apex-frontend-serving	Apex hostname SHALL be served end-to-end via the GKE Gateway with a Google-managed TLS certificate	3	355d0aa7	ACME DNS-01 challenge CNAME is hosted in the Cloudflare zone	FOLLOW_PARENT	
apex-frontend-serving	Apex serving SHALL route to the `fan-web-app` frontend Service via HTTPRoute hostname matching	0	27631d56	Frontend HTTPRoute binds apex hostname	FOLLOW_PARENT	
apex-frontend-serving	Apex serving SHALL route to the `fan-web-app` frontend Service via HTTPRoute hostname matching	1	68932e95	Apex traffic reaches the frontend SPA	FOLLOW_PARENT	
apex-frontend-serving	Apex serving SHALL NOT use Cloudflare Proxy on initial deploy	0	5a6b9ebc	Apex A record is DNS-only	FOLLOW_PARENT	
apex-frontend-serving	Apex serving SHALL NOT use Cloudflare Proxy on initial deploy	1	f008d530	Cert pinning observation	FOLLOW_PARENT	
apex-frontend-serving	Apex serving prod-stack resources SHALL be `protect: true`	0	10035cbd	Apex A record is protect-flagged	FOLLOW_PARENT	
apex-frontend-serving	Apex serving prod-stack resources SHALL be `protect: true`	1	cafc552e	Apex cert chain is protect-flagged	FOLLOW_PARENT	
apex-frontend-serving	Apex serving prod-stack resources SHALL be `protect: true`	2	53f64a44	Dev-stack apex-equivalent resources are NOT protect-flagged	FOLLOW_PARENT	
api-rate-limiting	Per-user rate limiting for authenticated endpoints	0	adc7134d	Authenticated user within rate limit	FOLLOW_PARENT	
api-rate-limiting	Per-user rate limiting for authenticated endpoints	1	ee8e202f	Authenticated user exceeds rate limit	FOLLOW_PARENT	
api-rate-limiting	Per-user rate limiting for authenticated endpoints	2	a7e23f11	Different users have independent rate limits	FOLLOW_PARENT	
api-rate-limiting	Per-IP rate limiting for unauthenticated endpoints	0	aea77caa	Anonymous client within rate limit	FOLLOW_PARENT	
api-rate-limiting	Per-IP rate limiting for unauthenticated endpoints	1	e1c4ccfb	Anonymous client exceeds rate limit	FOLLOW_PARENT	
api-rate-limiting	Per-IP rate limiting for unauthenticated endpoints	2	ce3dd0d9	IP extraction from X-Forwarded-For	FOLLOW_PARENT	
api-rate-limiting	Rate limiter interceptor placement	0	695500fe	Rate-limited request is traced and logged	FOLLOW_PARENT	
api-rate-limiting	Rate limiter interceptor placement	1	9a2f80d6	Health check endpoints are exempt	FOLLOW_PARENT	
api-rate-limiting	Rate limiter memory management	0	5fd44523	Idle limiter eviction	FOLLOW_PARENT	
api-rate-limiting	Rate limiter memory management	1	d4d176d6	Evicted user resumes activity	FOLLOW_PARENT	
api-rate-limiting	Rate limit configuration via environment variables	0	8a9bbb16	Custom authenticated rate limit	FOLLOW_PARENT	
api-rate-limiting	Rate limit configuration via environment variables	1	c8f62a63	Default values when not configured	FOLLOW_PARENT	
app-error-log-alerting	Error log detection per workload	0	91025eda	Server emits an ERROR log	FOLLOW_PARENT	
app-error-log-alerting	Error log detection per workload	1	83d47842	Consumer emits an ERROR log	FOLLOW_PARENT	
app-error-log-alerting	Error log detection per workload	2	ae08b59e	Concert-discovery CronJob emits an ERROR log	FOLLOW_PARENT	
app-error-log-alerting	Error log detection per workload	3	b84f3523	Sales-phase-discovery CronJob emits an ERROR log	FOLLOW_PARENT	
app-error-log-alerting	Error log detection per workload	4	e9a3ddcf	WARN-level log does not trigger alert	FOLLOW_PARENT	
app-error-log-alerting	Discovery CronJob failure observability	0	169e2786	Handled failure — job logs ERROR and exits 0	FOLLOW_PARENT	
app-error-log-alerting	Discovery CronJob failure observability	1	412367dc	Abrupt termination is out of scope	FOLLOW_PARENT	
app-error-log-alerting	Discovery CronJob failure observability	2	91cc4bd8	New discovery CronJob is introduced	FOLLOW_PARENT	
app-error-log-alerting	Atlas Operator migration failure detection	0	d65b82b0	Atlas migration fails with a transient error	FOLLOW_PARENT	
app-error-log-alerting	Atlas Operator migration failure detection	1	06545592	Atlas migration exceeds backoff limit	FOLLOW_PARENT	
app-error-log-alerting	Atlas Operator migration failure detection	2	97e41fe1	Atlas migration succeeds	FOLLOW_PARENT	
app-error-log-alerting	Atlas migration alert uses same notification and rate limiting as backend alerts	0	e43ff2d9	Multiple migration failures within 12 hours	FOLLOW_PARENT	
app-error-log-alerting	Notification via Slack	0	56593073	ERROR log triggers Slack notification	FOLLOW_PARENT	
app-error-log-alerting	Notification via Slack	1	15b88819	Slack Notification Channel is created via GCP Console	FOLLOW_PARENT	
app-error-log-alerting	Notification via Google Chat	0	8fe69bf4	ERROR log triggers Google Chat notification	FOLLOW_PARENT	
app-error-log-alerting	Notification via Google Chat	1	00a51eb5	Atlas migration failure triggers Google Chat notification	FOLLOW_PARENT	
app-error-log-alerting	Notification via Google Chat	2	1c90e3fc	Google Chat Notification Channel is created via Pulumi	FOLLOW_PARENT	
app-error-log-alerting	Notification via Google Chat	3	d150b8c2	Google Chat space requires Monitoring app pre-installed	FOLLOW_PARENT	
app-error-log-alerting	Notification rate limiting	0	89c3d158	Multiple ERROR logs within 12 hours	FOLLOW_PARENT	
app-error-log-alerting	Incident auto-close	0	c804f474	ERROR logs stop for 1 hour	FOLLOW_PARENT	
app-error-log-alerting	Incident auto-close	1	357766ae	New ERROR after auto-close	FOLLOW_PARENT	
app-error-log-alerting	Error context in alert labels	0	04ef63c3	Notification includes error context	FOLLOW_PARENT	
app-error-log-alerting	Error Reporting API enabled	0	2bff330e	Error Reporting detects errors	FOLLOW_PARENT	
app-error-log-alerting	Infrastructure as Code	0	5be78310	Pulumi deployment creates monitoring resources	FOLLOW_PARENT	
app-error-log-alerting	Gemini client-cancelled errors classified as client error	0	228e1c77	Gemini API returns HTTP 499	FOLLOW_PARENT	
app-error-log-alerting	Gemini client-cancelled errors classified as client error	1	ad622cab	Server-side deadline exceeded is still logged	FOLLOW_PARENT	
app-error-log-alerting	Infrastructure layer preserves original error types	0	f88ed9de	context.Canceled from database query	FOLLOW_PARENT	
app-error-log-alerting	Infrastructure layer preserves original error types	1	860837b2	Known pgx error is still mapped to AppErr	FOLLOW_PARENT	
app-error-log-alerting	Infrastructure layer preserves original error types	2	4f1b92ca	PostgreSQL constraint violation is still mapped to AppErr	FOLLOW_PARENT	
app-error-log-alerting	Standard slog output uses structured JSON format	0	7bca78e3	NATS connection retry logged as INFO/WARN	FOLLOW_PARENT	
app-error-log-alerting	Standard slog output uses structured JSON format	1	15d975ba	NATS connection established after retry	FOLLOW_PARENT	
app-shell-layout	Brand Identity Elements	0	76316c76	Page title displays service name	FOLLOW_PARENT	
app-shell-layout	Brand Identity Elements	1	20436cdd	Favicon and PWA icons	FOLLOW_PARENT	
app-shell-layout	Brand Identity Elements	2	626ab20d	Web app manifest declares the service name	FOLLOW_PARENT	
app-shell-layout	Brand Identity Elements	3	d9db6a8a	Theme color is consistent across HTML and manifest	FOLLOW_PARENT	
app-shell-layout	Conditional Navigation Display	0	3c430eae	App shell uses CSS Grid layout with named areas	FOLLOW_PARENT	
app-shell-layout	Conditional Navigation Display	1	ad70e1d0	Navigation hidden on Landing Page and auth callback only	FOLLOW_PARENT	
app-shell-layout	Conditional Navigation Display	2	1512ec46	Navigation shown during onboarding (discover, dashboard, my-artists)	FOLLOW_PARENT	
app-shell-layout	Conditional Navigation Display	3	bc0893d2	Navigation shown on post-onboarding routes	FOLLOW_PARENT	
app-shell-layout	Conditional Navigation Display	4	3145125a	Navigation remains visible beneath area setup dialog	FOLLOW_PARENT	
app-shell-layout	Conditional Navigation Display	5	abc9f3bf	Dashboard icon data attribute for coach mark targeting	FOLLOW_PARENT	
app-shell-layout	Conditional Navigation Display	6	c4e31f97	Pages do not compensate for navigation bar height	FOLLOW_PARENT	
app-shell-layout	Route components own page structure	0	a1a4f31b	Route provides header and main landmarks	FOLLOW_PARENT	
app-shell-layout	Route components own page structure	1	fa9b36f0	Route `:scope` declares grid layout with areas	FOLLOW_PARENT	
app-shell-layout	Route components own page structure	2	75226e13	No page-shell wrapper	FOLLOW_PARENT	
app-shell-layout	Route components own page structure	3	07c877b7	App-shell does not style child custom elements	FOLLOW_PARENT	
app-shell-layout	Stale-data warning uses overlay pattern	0	57ae7c2e	Stale banner appears as fixed overlay	FOLLOW_PARENT	
app-shell-layout	Stale-data warning uses overlay pattern	1	d3416b57	Stale banner does not affect scroll behavior	FOLLOW_PARENT	
app-shell-layout	Semantic HTML structure	0	e7027820	Lists use list elements	FOLLOW_PARENT	
app-shell-layout	Semantic HTML structure	1	24925714	Page headers use header element	FOLLOW_PARENT	
app-shell-layout	Semantic HTML structure	2	c0668a2d	Search UI uses search element	FOLLOW_PARENT	
app-shell-layout	Semantic HTML structure	3	af0dd4bb	Supplementary banners use aside element	FOLLOW_PARENT	
app-shell-layout	Semantic HTML structure	4	caefef1d	Loading states use ARIA busy	FOLLOW_PARENT	
app-shell-layout	Page Transition Animations	0	aacd0f7d	Forward navigation transition	FOLLOW_PARENT	
app-shell-layout	Page Transition Animations	1	f2e1023c	Backward navigation transition	FOLLOW_PARENT	
app-shell-layout	Page Transition Animations	2	85c3755c	Reduced motion preference	FOLLOW_PARENT	
app-shell-layout	Auth Status UI Redesign	0	e5aaaf40	Authenticated user display	FOLLOW_PARENT	
app-shell-layout	Auth Status UI Redesign	1	23461db3	Unauthenticated user display	FOLLOW_PARENT	
app-shell-layout	Notification Prompt Placement	0	2a4954b7	Notification prompt rendered in app shell when eligible	FOLLOW_PARENT	
app-shell-layout	Notification Prompt Placement	1	61ccaea2	Notification prompt hidden during onboarding routes	FOLLOW_PARENT	
app-shell-layout	Notification Prompt Placement	2	693367b6	Notification prompt removed from dashboard route	FOLLOW_PARENT	
app-shell-layout	PWA Install Prompt i18n	0	2cf975b0	PWA install prompt displays localized text	FOLLOW_PARENT	
app-shell-layout	Prompt Entrance and Exit Animations	0	af51cbca	Prompt entrance animation	FOLLOW_PARENT	
app-shell-layout	Prompt Entrance and Exit Animations	1	02a68218	Prompt exit animation	FOLLOW_PARENT	
app-shell-layout	Prompt Entrance and Exit Animations	2	4bcd99b1	Reduced motion preference	FOLLOW_PARENT	
app-shell-layout	App shell hosts the global FAB action launcher	0	e188bfa0	Launcher present with the navigation bar	FOLLOW_PARENT	
app-shell-layout	App shell hosts the global FAB action launcher	1	2592a275	Launcher absent on fullscreen routes	FOLLOW_PARENT	
app-shell-layout	App shell hosts the global FAB action launcher	2	ef7f0aac	Navigation height is published for offset	FOLLOW_PARENT	
app-shell-layout	Instant page-identity switch on navigation intent	0	4140fd6a	Header title and active tab switch on tap before content loads	FOLLOW_PARENT	
app-shell-layout	Instant page-identity switch on navigation intent	1	3517e8d1	Optimistic switch on navigation start	FOLLOW_PARENT	
app-shell-layout	Instant page-identity switch on navigation intent	2	2e091eb5	Confirmation on navigation end	FOLLOW_PARENT	
app-shell-layout	Instant page-identity switch on navigation intent	3	6f54bf86	Rollback on navigation error	FOLLOW_PARENT	
app-shell-layout	Instant page-identity switch on navigation intent	4	841b9566	Header and nav are not gated by the content transition	FOLLOW_PARENT	
app-shell-layout	Instant page-identity switch on navigation intent	5	83ef25bb	Dynamic route titles update the shared state	FOLLOW_PARENT	
argocd-deployment-alerts	ArgoCD Notifications controller is enabled	0	76cf36f4	Notifications controller is running	FOLLOW_PARENT	
argocd-deployment-alerts	ArgoCD Notifications controller is enabled	1	d4680e1e	Notifications controller has resource constraints	FOLLOW_PARENT	
argocd-deployment-alerts	Google Chat webhook service is configured	0	de58892a	Service references webhook URL from Secret	FOLLOW_PARENT	
argocd-deployment-alerts	Google Chat webhook service is configured	1	d99dc1ea	Webhook URL is managed through ESO	FOLLOW_PARENT	
argocd-deployment-alerts	Default triggers notify on error conditions	0	a0527985	Sync failure triggers notification	FOLLOW_PARENT	
argocd-deployment-alerts	Default triggers notify on error conditions	1	ae1db11a	Health degradation triggers notification	FOLLOW_PARENT	
argocd-deployment-alerts	Default triggers notify on error conditions	2	efd7e9ca	Unknown sync status triggers notification	FOLLOW_PARENT	
argocd-deployment-alerts	Default triggers notify on error conditions	3	b97e708d	New applications automatically receive triggers	FOLLOW_PARENT	
argocd-deployment-alerts	ArgoCD secrets are isolated from backend secrets	0	574183f2	Dedicated ClusterSecretStore for ArgoCD	FOLLOW_PARENT	
argocd-deployment-alerts	ArgoCD secrets are isolated from backend secrets	1	b18b9622	Backend ClusterSecretStore is unchanged	FOLLOW_PARENT	
argocd-deployment-alerts	Webhook URL is stored in Pulumi ESC and GCP Secret Manager	0	0e4797a6	Webhook URL is provisioned via Pulumi	FOLLOW_PARENT	
argocd-deployment-alerts	Webhook URL is stored in Pulumi ESC and GCP Secret Manager	1	2243d440	Only ESO SA has access to the webhook secret	FOLLOW_PARENT	
argocd-gateway-deployment	Cluster-Level Application	0	c5b978aa	Cluster app deployed	FOLLOW_PARENT	
argocd-gateway-deployment	Cluster-Level Application	1	a2143053	Namespace isolation ensured	FOLLOW_PARENT	
argocd-gateway-deployment	Gateway-Level Application	0	c569fe35	Gateway app deployed independently	FOLLOW_PARENT	
argocd-gateway-deployment	Gateway-Level Application	1	36b1f71f	Gateway app does not trigger backend redeploy	FOLLOW_PARENT	
argocd-gateway-deployment	Backend Application	0	baf394d9	Backend app deployed	FOLLOW_PARENT	
argocd-gateway-deployment	Backend Application	1	39e8c94c	Backend app independent lifecycle	FOLLOW_PARENT	
argocd-gateway-deployment	GitOps Synchronization	0	c9daf8a3	Manual sync	FOLLOW_PARENT	
argocd-gateway-deployment	GitOps Synchronization	1	ec375d72	Automated sync (future)	FOLLOW_PARENT	
argocd-gateway-deployment	Application Dependency Ordering	0	3592611b	Cluster created first	FOLLOW_PARENT	
argocd-gateway-deployment	Application Dependency Ordering	1	da7727da	Gateway and backend independent	FOLLOW_PARENT	
argocd-gateway-deployment	Application Status Visibility	0	3329de7e	Application status reported	FOLLOW_PARENT	
argocd-gateway-deployment	Rollback Capability	0	6f79337d	Rollback to previous config	FOLLOW_PARENT	
argocd-gateway-deployment	Prod overlay minimizes Argo CD Pod count	0	0bd95c2e	argocd-server runs with single replica in prod	FOLLOW_PARENT	
argocd-gateway-deployment	Prod overlay minimizes Argo CD Pod count	1	666b72eb	image-updater-controller replicas are 0 in prod	FOLLOW_PARENT	
argocd-gateway-deployment	Prod overlay minimizes Argo CD Pod count	2	14c1fdf9	Disabled non-essential controllers are documented	FOLLOW_PARENT	
argocd-gateway-deployment	dev overlay is unaffected	0	ffed9759	dev overlay does not patch replicas	FOLLOW_PARENT	
argocd-image-automation	Image Updater monitors container registry	0	593d8fcd	New image digest detected	FOLLOW_PARENT	
argocd-image-automation	Image Updater monitors container registry	1	1e368933	No update for same digest	FOLLOW_PARENT	
argocd-image-automation	In-cluster parameter override for dev	0	3a5c3212	Dev Application parameter override updated	FOLLOW_PARENT	
argocd-image-automation	In-cluster parameter override for dev	1	435da1bf	ArgoCD syncs after parameter override	FOLLOW_PARENT	
argocd-image-automation	Parameter override recovery after Application recreation	0	5f74f60a	Application recreated by root-app sync	FOLLOW_PARENT	
argocd-image-automation	Production deployments remain manual	0	1133cf44	Prod image requires manual update	FOLLOW_PARENT	
argocd-image-automation	Production deployments remain manual	1	9f417343	Prod overlay has no ImageUpdater CR	FOLLOW_PARENT	
argocd-image-automation	Production deployments remain manual	2	c9c9f443	image-updater-controller is not running in prod cluster	FOLLOW_PARENT	
argocd-image-automation	Production deployments remain manual	3	413eb1e8	dev cluster continues to run image-updater	FOLLOW_PARENT	
argocd-image-automation	Image pull policy enforcement	0	38be7956	Always pull for latest tag	FOLLOW_PARENT	
argocd-image-automation	Multiple image support	0	7fb3a841	Backend server image auto-update	FOLLOW_PARENT	
argocd-image-automation	Multiple image support	1	08d0a7d1	Frontend fan-web image auto-update	FOLLOW_PARENT	
argocd-image-automation	Rollback capability	0	2e98450f	Rollback via ArgoCD UI	FOLLOW_PARENT	
argocd-image-automation	Rollback capability	1	d8d2a4cd	Manual image override	FOLLOW_PARENT	
argocd-image-automation	Failure handling	0	bf234da5	Registry connection failure	FOLLOW_PARENT	
argocd-image-automation	Failure handling	1	c7a96ded	ArgoCD API failure	FOLLOW_PARENT	
artist-auto-persist	Auto-persist external artists during ListTop	0	df042291	First call for a country with no cached artists	FOLLOW_PARENT	
artist-auto-persist	Auto-persist external artists during ListTop	1	15f51681	Repeated call returns artists with stable IDs	FOLLOW_PARENT	
artist-auto-persist	Auto-persist external artists during ListTop	2	206d9c6d	External artist already exists in database	FOLLOW_PARENT	
artist-auto-persist	Auto-persist external artists during ListSimilar	0	4b4e2826	Similar artists persisted on discovery	FOLLOW_PARENT	
artist-auto-persist	Handle artists without MBID	0	9aba78fc	Artist with empty MBID	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	DNA Extraction UI Concept	0	6aaad2f0	Initial bubble display with DNA Orb	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	DNA Extraction UI Concept	1	8495c038	Per-artist bubble color differentiation	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	DNA Extraction UI Concept	2	8b4e8230	Onboarding guidance overlay	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	DNA Extraction UI Concept	3	2f9a77a9	Background visual depth	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	Bubble Absorption Animation	0	a149edcc	Artist selection bursts then absorbs	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	Bubble Absorption Animation	1	6e380e4c	Color injection uses bubble's existing hue	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	Bubble Absorption Animation	2	32667bc7	Orb visual evolution with stage-level escalation	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	Bubble Absorption Animation	3	7df5da97	First follow has maximum visual impact	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	Bubble Absorption Animation	4	b8890ac5	Effective swirl combines base and transient	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	Bubble Burst On Tap	0	c9d54f38	Bubble over-inflates then ruptures	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	Bubble Burst On Tap	1	b34006ef	Burst sprays luminous droplets in the bubble's hue	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	Bubble Burst On Tap	2	a5fdae05	Burst hands off to absorption	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	Bubble Burst On Tap	3	132899cb	Reduced motion suppresses the burst	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	Orb respects prefers-reduced-motion	0	3ce03260	Reduced motion user follows an artist	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	Dynamic Toast Notifications for Live Events	0	66bf759e	Live event notification on artist follow	FOLLOW_PARENT	
artist-discovery-dna-orb-ui	Dynamic Toast Notifications for Live Events	1	e018f28f	No notification for artists without events	FOLLOW_PARENT	
