old_spec	old_req_name	req_hash	scen_n	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
analytics-consent	Analytics operates under an EU-adequacy opt-out model, not a consent gate	a5e344dc	2							p=14 n=0
analytics-consent	Settings exposes Analytics and Session-replay opt-out toggles	761038a1	2							p=13 n=0
analytics-consent	Full non-PII catalogue is captured anonymously before identification	36d1c3a2	2							p=39 n=0
analytics-consent	Anonymous behaviour is merged into the identified profile on login	e594ef14	1							p=21 n=0
analytics-consent	Sensitive personal information is structurally excluded; minor-user legality is deferred to legal review	2b9ede9e	2							p=19 n=0
analytics-consent	Analytics opt-out state is persisted and user-controllable from settings	665f7b22	2							p=25 n=0
apex-frontend-serving	Apex hostname SHALL be served end-to-end via the GKE Gateway with a Google-managed TLS certificate	9f433aff	4							p=0 n=7
apex-frontend-serving	Apex serving SHALL route to the `fan-web-app` frontend Service via HTTPRoute hostname matching	0d819884	2							p=5 n=10
apex-frontend-serving	Apex serving SHALL NOT use Cloudflare Proxy on initial deploy	b0b9e01f	2							p=0 n=0
apex-frontend-serving	Apex serving prod-stack resources SHALL be `protect: true`	53db766c	3							p=0 n=5
api-rate-limiting	Per-user rate limiting for authenticated endpoints	76b81e6a	3							p=16 n=0
api-rate-limiting	Per-IP rate limiting for unauthenticated endpoints	ca47e3fa	3							p=0 n=3
api-rate-limiting	Rate limiter interceptor placement	4c374345	2							p=1 n=1
api-rate-limiting	Rate limiter memory management	40b39f09	2							p=4 n=0
api-rate-limiting	Rate limit configuration via environment variables	b5587895	2							p=0 n=0
app-error-log-alerting	Error log detection per workload	44ed9f65	5							p=18 n=2
app-error-log-alerting	Discovery CronJob failure observability	3a9ab993	3							p=12 n=2
app-error-log-alerting	Atlas Operator migration failure detection	a8b1c33d	3							p=4 n=1
app-error-log-alerting	Atlas migration alert uses same notification and rate limiting as backend alerts	52ea89d3	1							p=4 n=0
app-error-log-alerting	Notification via Slack	7de83f42	2							p=8 n=9
app-error-log-alerting	Notification via Google Chat	d483f768	4							p=13 n=8
app-error-log-alerting	Notification rate limiting	4df5fc3d	1							p=5 n=0
app-error-log-alerting	Incident auto-close	c258832f	2							p=2 n=0
app-error-log-alerting	Error context in alert labels	53e773a5	1							p=3 n=0
app-error-log-alerting	Error Reporting API enabled	40ef64b9	1							p=0 n=1
app-error-log-alerting	Infrastructure as Code	42542b7b	1							p=7 n=13
app-error-log-alerting	Gemini client-cancelled errors classified as client error	a27e5d84	2							p=0 n=0
app-error-log-alerting	Infrastructure layer preserves original error types	f4d19ca0	3							p=0 n=0
app-error-log-alerting	Standard slog output uses structured JSON format	7e7898fd	2							p=0 n=2
app-shell-layout	Brand Identity Elements	a990a4c4	4							p=6 n=8
app-shell-layout	Conditional Navigation Display	5cf530ee	7							p=34 n=0
app-shell-layout	Route components own page structure	c6d4da5e	4							p=11 n=1
app-shell-layout	Stale-data warning uses overlay pattern	45aa4368	2							p=11 n=3
app-shell-layout	Semantic HTML structure	f875d0c9	5							p=14 n=0
app-shell-layout	Page Transition Animations	b395f155	3							p=7 n=0
app-shell-layout	Auth Status UI Redesign	e87d06c4	2							p=10 n=0
app-shell-layout	Notification Prompt Placement	87d117bd	3							p=23 n=0
app-shell-layout	PWA Install Prompt i18n	0c97c491	1							p=7 n=0
app-shell-layout	Prompt Entrance and Exit Animations	b7e77f21	3							p=5 n=0
app-shell-layout	App shell hosts the global FAB action launcher	7a949016	3							p=2 n=0
app-shell-layout	Instant page-identity switch on navigation intent	7911cbdf	6							p=16 n=0
argocd-deployment-alerts	ArgoCD Notifications controller is enabled	d3788415	2							p=7 n=7
argocd-deployment-alerts	Google Chat webhook service is configured	da17243a	2							p=8 n=9
argocd-deployment-alerts	Default triggers notify on error conditions	6a8ce97a	4							p=8 n=5
argocd-deployment-alerts	ArgoCD secrets are isolated from backend secrets	9d44f908	2							p=0 n=9
argocd-deployment-alerts	Webhook URL is stored in Pulumi ESC and GCP Secret Manager	81366bd1	2							p=7 n=16
argocd-gateway-deployment	Cluster-Level Application	bc8533a9	2							p=0 n=9
argocd-gateway-deployment	Gateway-Level Application	2121ef6a	2							p=0 n=5
argocd-gateway-deployment	Backend Application	21e7db73	2							p=0 n=4
argocd-gateway-deployment	GitOps Synchronization	df524005	2							p=2 n=4
argocd-gateway-deployment	Application Dependency Ordering	f7e457cb	2							p=4 n=1
argocd-gateway-deployment	Application Status Visibility	222c00db	1							p=3 n=1
argocd-gateway-deployment	Rollback Capability	3317b777	1							p=2 n=2
argocd-gateway-deployment	Prod overlay minimizes Argo CD Pod count	3158a305	3							p=0 n=13
argocd-gateway-deployment	dev overlay is unaffected	fd6d1a76	1							p=2 n=9
argocd-image-automation	Image Updater monitors container registry	b15fc43d	2							p=0 n=6
argocd-image-automation	In-cluster parameter override for dev	408bb11b	2							p=0 n=9
argocd-image-automation	Parameter override recovery after Application recreation	76bff2b7	1							p=1 n=4
argocd-image-automation	Production deployments remain manual	09d238ed	4							p=0 n=17
argocd-image-automation	Image pull policy enforcement	d10775c0	1							p=0 n=0
argocd-image-automation	Multiple image support	3fb79a40	2							p=2 n=6
argocd-image-automation	Rollback capability	fa348971	2							p=0 n=5
argocd-image-automation	Failure handling	afe4a30f	2							p=0 n=8
artist-auto-persist	Auto-persist external artists during ListTop	8ef430f8	3							p=20 n=0
artist-auto-persist	Auto-persist external artists during ListSimilar	9a46091b	1							p=15 n=0
artist-auto-persist	Handle artists without MBID	823cb91f	1							p=13 n=0
artist-discovery-dna-orb-ui	DNA Extraction UI Concept	7a7e35fa	4							p=28 n=1
artist-discovery-dna-orb-ui	Bubble Absorption Animation	85356f0e	5							p=23 n=0
artist-discovery-dna-orb-ui	Bubble Burst On Tap	9a429107	4							p=14 n=0
artist-discovery-dna-orb-ui	Orb respects prefers-reduced-motion	09b3bae6	1							p=12 n=0
artist-discovery-dna-orb-ui	Dynamic Toast Notifications for Live Events	236246cd	2							p=34 n=0
artist-discovery-dna-orb-ui	Similar Artist Chain Reaction	f3818b90	3							p=55 n=0
artist-discovery-dna-orb-ui	Search result item is fully tappable	c9ea2486	3							p=24 n=0
artist-discovery-dna-orb-ui	Spawn and absorb API on canvas	2c43caef	1							p=5 n=0
artist-discovery-dna-orb-ui	Completion Action via DNA Orb	61e2970d	1							p=10 n=0
artist-discovery-dna-orb-ui	Physics-Based Bubble Animation	2ed75303	1							p=2 n=0
artist-discovery-dna-orb-ui	List followed artists from backend	8cbae072	2							p=13 n=0
artist-discovery-dna-orb-ui	Small-screen bubble and orb density adaptation	31011f29	8							p=41 n=0
artist-discovery-dna-orb-ui	Orb Activation Separates Gesture Celebration From Follow-Count State	ace911e4	6							p=66 n=0
artist-following	Follow Relationship Data Model	6df369c4	3							p=47 n=0
artist-following	ListFollowed Response	90cb780f	4							p=47 n=0
artist-following	ArtistFilterBar sheet initializes pendingIds from followedArtists	fbb8eb50	3							p=17 n=0
artist-following	Idempotent Unfollow Logic	bcc85f46	1							p=18 n=0
artist-following	Follow CTA in Event Detail Sheet	dcadf69d	6							p=108 n=0
artist-image	Fanart Entity	c4b2af6f	3							p=23 n=0
artist-image	Best Image Selection	86729c46	2							p=1 n=0
artist-image	Fanart Proto Message	f31df147	3							p=32 n=0
artist-image	Fanart Proto Mapper	7e050070	2							p=16 n=0
artist-image	Fanart Database Storage	d15e0dc9	3							p=20 n=0
artist-image	ArtistImageResolver Interface	805e9870	3							p=11 n=0
artist-image	fanart.tv API Client	69d55140	3							p=14 n=0
artist-image	Immediate Image Fetch on Artist Creation	3c8eab6f	3							p=24 n=0
artist-image	Periodic Image Sync CronJob	4dd84491	4							p=18 n=0
artist-image-ui	Event Card Logo Display	34d2ad12	4							p=32 n=0
artist-image-ui	Event Detail Sheet Hero Image	38e44a60	3							p=22 n=1
artist-image-ui	Fanart Data Propagation	e75f0594	3							p=36 n=0
artist-service-infrastructure	Standalone Artist Service	d253c9d0	3							p=28 n=0
artist-service-infrastructure	Unified Music Discovery Interface	3d1c20bd	3							p=26 n=0
atlas-operator	Atlas Operator SHALL be installed in the GKE cluster	3b1b511b	1							p=1 n=7
atlas-operator	Migrations SHALL be stored as ConfigMap	dbee8f38	1							p=0 n=4
atlas-operator	AtlasMigration CRD SHALL connect as postgres user	7164a062	1							p=8 n=5
atlas-operator	Migrations SHALL create the app schema and grant permissions	bfddea6a	1							p=4 n=0
atlas-operator	Backend repository SHALL host an Atlas migration prod overlay	b7bb9e33	3							p=5 n=25
aurelia-reactivity	Watch-based reactive observation	7dbb112f	2							p=1 n=0
aurelia-reactivity	Computed property caching	2a551ac9	2							p=0 n=0
aurelia-reactivity	Batched multi-property updates	d564c598	2							p=3 n=0
aurelia-reactivity	Observable for side-effect properties	c56ca0d1	1							p=0 n=0
aurelia-reactivity	Collection observation via native Set binding	4298ea9b	3							p=2 n=0
aurelia-template-optimization	Keyed list rendering	30d2f5cd	3							p=6 n=0
aurelia-template-optimization	Switch-based multi-branch conditionals	edbdbe28	1							p=1 n=0
aurelia-template-optimization	Show binding for frequently toggled elements	bf400881	2							p=5 n=0
aurelia-template-optimization	Class binding syntax for conditional CSS classes	d5737fe5	3							p=0 n=0
aurelia-template-optimization	Debounce on search inputs	1ddabedd	2							p=9 n=0
aurelia-template-optimization	Throttle binding behavior on continuous event handlers	6106c80d	1							p=7 n=0
aurelia-template-optimization	Date value converter	16f8f329	3							p=3 n=0
aurelia-template-optimization	Route title configuration	e2835205	2							p=15 n=0
authentication	Silent token refresh strategy	7ef8b047	8							p=14 n=0
authentication	JWT Token Validation	8fdf9baf	2							p=2 n=0
authentication	User ID Propagation	f48f91ff	1							p=15 n=0
authentication	Authenticated Endpoint Protection	8f2b5ef2	4							p=2 n=0
authentication	Public Endpoint Access	c3e41acd	2							p=3 n=2
authentication	Email Verified Claim Injection	93c3a6a6	3							p=12 n=0
authentication	Validate Zitadel Actions v2 Webhook JWTs by Signature	c079e733	3							p=12 n=0
authentication	JWKS Caching	6ac51ef6	1							p=0 n=0
authentication	Token Validation Performance	4ce72d5b	1							p=0 n=0
authentication	Authentication Error Handling	19f04213	3							p=0 n=0
authentication	Graceful session re-authentication	8c4219be	5							p=30 n=0
auto-concert-discovery	Scheduled Concert Discovery Job	1b868baa	3							p=56 n=0
auto-concert-discovery	Circuit Breaker on Consecutive Failures	4882d07c	3							p=16 n=0
auto-concert-discovery	Job Always Exits Successfully	94b49472	2							p=9 n=0
auto-concert-discovery	Job-Specific Dependency Injection	807837de	2							p=4 n=0
auto-concert-discovery	Gemini Response Resilience	1870aa66	4							p=4 n=0
auto-concert-discovery	Consumer JetStream Delivery Policy	e2db604d	2							p=0 n=0
auto-concert-discovery	Consumer JetStream Acknowledgement Policy	5fc88b2e	2							p=0 n=0
auto-discovery-series-grouping	Tour Events Group Into a Single Series	96ed48bf	2							p=16 n=0
auto-discovery-series-grouping	Series Identity Is Adopted From Member Events	20d36098	3							p=19 n=0
auto-discovery-series-grouping	Events Deduplicate On Physical Natural Key	487880f5	3							p=16 n=0
auto-discovery-series-grouping	Event Identity Is Resolved In The Application	6f0576dc	2							p=12 n=0
auto-discovery-series-grouping	SeriesType Assigned From Source Classification	996718f9	2							p=7 n=0
auto-discovery-series-grouping	Multi-Hall Venues Are Disambiguated By venue_id	c6df2d92	1							p=3 n=0
auto-discovery-series-grouping	Residual Grouping Ambiguities Are Logged, Not Fatal	5728cb1c	3							p=10 n=0
auto-discovery-series-grouping	Approval Preserves Series Grouping And Type	fd2a5bbc	4							p=40 n=0
backend-otel-instrumentation	External HTTP client tracing via otelhttp transport	492a850e	5							p=5 n=0
backend-otel-instrumentation	Zitadel gRPC client tracing via otelgrpc	39c83a39	1							p=0 n=0
backend-otel-instrumentation	UseCase spans for CPU-intensive business logic	f0ed1312	3							p=8 n=0
backend-otel-instrumentation	Application metrics	416a6f58	3							p=2 n=0
backend-otel-instrumentation	Trace context preservation in deferred operations	ff118968	1							p=5 n=0
backend-service-exposure	Backend Service Discoverability	288ebd02	2							p=0 n=3
backend-service-exposure	Service Backend Protocol Support	f22f988f	1							p=0 n=1
backend-service-exposure	Health Check Integration	5ffc7857	2							p=0 n=0
beam-effect-toggle	User can toggle the laser beam spotlight effect on the dashboard	e4fe188a	5							p=26 n=2
billing-export-infrastructure	BigQuery dataset for GCP Billing Export	0b561cd3	2							p=1 n=10
billing-export-infrastructure	IAM binding for billing export service account	d64c0ddc	2							p=1 n=7
billing-export-infrastructure	Runbook documents the Console step to enable billing export	6cd398f2	2							p=1 n=3
billing-export-infrastructure	Detailed usage cost export is preferred over Standard-only	e9c0e0a8	1							p=0 n=1
billing-export-infrastructure	Sample analysis SQL is provided	85441441	1							p=0 n=0
bottom-sheet-ce	Bottom Sheet Custom Element	9c530a97	28							p=38 n=6
brand-vocabulary	Two-Layer Vocabulary Model	486a4cc6	3							p=6 n=1
brand-vocabulary	Entity Namespace Mirrors Protobuf Names	3dfd65ad	3							p=10 n=4
brand-vocabulary	Asymmetric Locale Labels	414bf71c	1							p=0 n=0
brand-vocabulary	Entity Namespace Locale Parity	bbfdcc6f	2							p=4 n=1
brand-vocabulary	Entity Name Validation	766fc709	2							p=4 n=0
brand-vocabulary	Deprecated Colloquial Terms	2db32bc5	3							p=28 n=0
brand-vocabulary	Brand Expression Registry	f375928c	6							p=28 n=2
brand-vocabulary	Hype Tier Surface Labels Are Layer B	1656f878	3							p=5 n=1
brand-vocabulary	Lint Script Integration	2605a05e	2							p=0 n=1
browser-locale-detection	Timezone-based country detection	e77ada14	3							p=4 n=0
browser-locale-detection	Mapping table coverage	5b027272	1							p=1 n=0
bubble-pool-lifecycle	Bubble pool initialization based on followed-artist count	4d1f8c1d	4							p=55 n=0
bubble-pool-lifecycle	Bubble pool deduplication	a2072496	3							p=22 n=0
bubble-pool-lifecycle	Bubble pool cap and eviction on tap	f19a48f2	2							p=10 n=0
bubble-pool-lifecycle	Tap-to-refill flow	a0543a14	3							p=27 n=0
bubble-pool-lifecycle	ListSimilar and ListTop limit parameter	af5b9d7e	2							p=9 n=0
bubble-replenishment	Canvas replenishes bubbles when similar artists are exhausted	eff94ea8	3							p=30 n=0
bubble-state-management	BubbleManager provides single source of truth for bubble lifecycle	2dc53917	4							p=8 n=0
bubble-state-management	BubbleManager enforces capacity through coordinated eviction	a7ae2dc4	2							p=0 n=0
bubble-state-management	BubbleManager defers canvas reads until element is visible	049c705d	2							p=1 n=0
bubble-state-management	BubbleManager supports reset to global top artists	c90699e2	3							p=19 n=0
bubble-state-management	Initial load tops up a sparse discovery field	06c1e0ef	3							p=27 n=0
bubble-state-management	Physics layer is a pure projection of the field	3ced30f7	3							p=16 n=0
bubble-state-management	Bubble invariants are applied once at the field boundary	876258e9	2							p=11 n=0
bulk-insert-unnest	Bulk artist creation via unnest	1e34d024	3							p=22 n=0
bulk-insert-unnest	Concert bulk insert via unnest	e017feec	2							p=14 n=0
card-logo-presentation	Logo and text visibility on unmatched cards	a64c1143	2							p=9 n=0
card-logo-presentation	Center-aligned card content	fd1b20a1	2							p=7 n=0
card-logo-presentation	Text fallback font size prominence	9ade909d	1							p=7 n=0
card-logo-presentation	Logo scales to fill card space	4e61d412	1							p=3 n=0
certificate-manager-integration	Google-Managed Certificate Provisioning	95bc49f8	2							p=2 n=0
certificate-manager-integration	DNS Validation for Certificate Issuance	ee921aa0	2							p=0 n=0
certificate-manager-integration	Certificate Map for Gateway Binding	726cc4e7	2							p=1 n=0
certificate-manager-integration	Automatic Certificate Renewal	aca093ca	1							p=0 n=0
certificate-manager-integration	Certificate Status Monitoring	f14f2f06	1							p=3 n=1
certificate-manager-integration	Zero-Downtime Certificate Update	c017ab49	1							p=1 n=0
ci-optimization	Workflows cancel superseded runs	ac6f315a	2							p=2 n=7
ci-optimization	Workflows declare minimum required permissions	40d19387	2							p=0 n=2
ci-optimization	Frontend CI enforces code quality gates	7fa6434a	3							p=0 n=3
ci-optimization	Frontend CI reports coverage on PRs	a456d383	1							p=0 n=4
ci-optimization	Backend CI enforces format correctness	b7d312b7	1							p=0 n=5
ci-optimization	Atlas migration lint runs without Atlas Cloud	74a3f62f	2							p=0 n=4
ci-optimization	Benchmark workflow uses consistent Postgres version	03c73eaa	1							p=0 n=3
ci-optimization	Both repos have a CI success gate job	542b09d5	2							p=0 n=8
ci-optimization	Claude code review runs via a single org-wide reusable workflow	ac211d95	3							p=3 n=9
ci-optimization	Claude review posts advisory inline comments on pull requests	63794ce5	3							p=1 n=12
ci-optimization	Branch protection gates merges on CI Success only	8503c748	2							p=0 n=9
cloud-dns-infrastructure	Domain Configuration via Pulumi ESC	9787a661	2							p=0 n=7
cloud-dns-infrastructure	No Manual Registrar Nameserver Update	3a0c2a82	2							p=0 n=1
cloud-dns-infrastructure	Environment Isolation via DNS Architecture	2bb67820	3							p=1 n=5
cloud-dns-infrastructure	No Conflicting Private Zones	de6f52ee	1							p=0 n=5
cloud-dns-infrastructure	Cloudflare DNS Zone Management	bb46bb73	5							p=0 n=10
cloud-sql-connector	Authenticate via Cloud SQL Connector	bbf23286	1							p=0 n=3
cloud-sql-connector	Standard Connection for Local	49e0e238	1							p=0 n=0
cloud-sql-connector	Database schema SHALL be configurable via environment variable	10553097	2							p=0 n=0
cloud-sql-connector	Configuration Validation	736a89a1	1							p=0 n=0
cloud-sql-connector	A standalone Auth Proxy Deployment SHALL exist in dev for local access	59c7508a	1							p=0 n=3
commit-gate-hook	Claude Code PreToolUse hook blocks unchecked commits	2f0b8e7b	2							p=2 n=0
commit-gate-hook	code-verifier skill removal	f327ca15	1							p=0 n=0
commit-gate-hook	CLAUDE.md and AGENTS.md updated	ceb22887	1							p=1 n=0
component-smoke-tests	Component mount smoke tests	5804d8d7	3							p=1 n=0
component-smoke-tests	DI mock registry for smoke tests	6bf27f70	2							p=0 n=0
component-smoke-tests	E2E console error smoke test	a0fc67de	4							p=4 n=8
concert-approval-queue	Approval publishes the concert	f2801da4	3							p=38 n=0
concert-approval-queue	Rejection drops the concert and is non-permanent	68496dfd	3							p=22 n=0
concert-approval-queue	Re-discovery dedup consults published and pending state	ed457141	3							p=15 n=0
concert-approval-queue	Rejection log is append-only and analysis-only	6ff21eb8	1							p=4 n=0
concert-approval-queue	Admin-scoped moderation RPCs	39332caf	3							p=35 n=0
concert-approval-queue	Admin console approval-queue UI	a10f8ce5	5							p=79 n=0
concert-approval-queue	Approval reconciles a duplicate existing event	7784b8a8	4							p=34 n=0
concert-approval-queue	Discovery auto-publishes new concerts and stages only conflicts	9e6cf2d0	5							p=93 n=0
concert-approval-queue	Deleting a published concert suppresses re-discovery	69628543	2							p=28 n=0
concert-approval-queue	Re-discovery skips suppressed concerts	a433cd90	2							p=21 n=0
concert-detail	Concert Detail View	a8544792	13							p=84 n=2
concert-detail	Localized Concert Detail Sheet Copy	f7dfd024	4							p=25 n=2
concert-detail	Compact journey-status control layout	e7f498bc	4							p=6 n=0
concert-detail	Dashboard Lane Assignment	cbdf6a0b	3							p=34 n=0
concert-detail	Deep-link auto-open of a concert detail sheet	4799f75e	4							p=80 n=0
concert-highway-ce	Concert Highway Custom Element	018f059e	5							p=28 n=1
concert-highway-ce	Beam tracking updates efficiently per frame	c205c62c	3							p=2 n=2
concert-search	Search Concerts by Artist	b489675b	9							p=79 n=0
concert-search	Venue Administrative Area Extraction	bb3642bf	3							p=8 n=0
concert-search	Resilient External Search	903bb177	5							p=12 n=0
concert-search	Concert Deduplication Natural Key	622a6aa8	9							p=80 n=0
concert-search	Dedup Key Comparison for Existing Concerts	51c718a2	2							p=26 n=0
concert-search	Resilience to Gemini API Non-Determinism	12d3dd70	6							p=37 n=0
concert-search	Dedup Tolerates Venue Name Drift	1fcd9cc8	3							p=28 n=0
concert-search-internals	Usecase layer SHALL NOT import infrastructure packages	cd41027f	2							p=7 n=1
concert-search-internals	Search status marking SHALL use defer pattern	e7795de1	2							p=4 n=0
concert-search-internals	Time-dependent tests SHALL use testing/synctest	f466409e	2							p=8 n=0
concert-search-internals	resolveUserID SHALL NOT be duplicated	093b52c3	2							p=18 n=0
concert-search-internals	Entity construction SHALL use domain methods	3102b636	1							p=8 n=0
concert-search-log	Track Concert Search History	f50c63ed	3							p=27 n=0
concert-search-log	Search Log Persistence	bf73ee5e	2							p=7 n=0
concert-search-log	Frontend search status polling for onboarding	1d1af1c4	5							p=43 n=0
concert-search-log	Track Last Concert Discovery Time	7d86ead6	3							p=38 n=0
concert-service	Concert Service	3f13acfa	4							p=41 n=0
concert-service	Search Concerts by Artist	4c0b8b02	5							p=44 n=0
concert-service	Concert Persistence	d9a67866	5							p=41 n=0
concert-service	List Concerts with Proximity for Unauthenticated Users	0a3cd853	6							p=47 n=0
concert-service	Venue Resolution in Concert List	d48a9f92	3							p=41 n=0
concert-service	Concert-Event Association	5cd50171	1							p=18 n=0
concert-service	Listed Venue Name Preservation	d0beb89d	2							p=19 n=0
concert-service	Venue AdminArea Persistence	f82ebb0c	2							p=14 n=0
concert-service	List Concerts by Follower	6d6a87e3	5							p=63 n=0
concert-service	Event Natural Key Constraint	a97174d2	3							p=8 n=0
concert-service	Concert UPSERT on Natural Key	d3e5718e	5							p=40 n=0
concert-service	Duplicate Data Cleanup Migration	d88f1e92	3							p=5 n=0
concert-service	ConcertService handler timeout isolation	653f357b	3							p=11 n=0
concert-service	GKE Gateway timeout for ConcertService	3736f990	1							p=4 n=3
concert-service	ListByLocation RPC	2e789f1a	9							p=65 n=0
connect-rpc-cors	CORS Middleware for Connect-RPC	fd0ec114	2							p=0 n=0
connect-rpc-cors	Allowed Origins Configuration	4fed2e18	2							p=4 n=0
connect-rpc-cors	Connect-RPC Protocol Headers	288a92e4	2							p=2 n=0
connect-rpc-cors	Authorization Header Support	912304b9	1							p=0 n=0
connect-rpc-cors	CORS Validation at Startup	92c282b3	1							p=0 n=0
consumer-poison-queue-alerting	Poison Queue consumer emits ERROR logs	8c351921	3							p=2 n=0
consumer-poison-queue-alerting	NATS POISON stream lag alert	8fe71c24	3							p=5 n=0
continuous-delivery	ArgoCD Manifests	7f6c4460	2							p=4 n=11
continuous-delivery	Internal Web UI Access	1e38a096	1							p=0 n=2
continuous-delivery	Git Repository Integration	543baacf	1							p=0 n=2
continuous-delivery	Root Application	cea62654	1							p=0 n=1
continuous-delivery	Image Build and Publish	95da5105	1							p=2 n=1
continuous-delivery	Secure CI Authentication	0446782b	1							p=0 n=4
continuous-delivery	Backend Application Provisioning	4138385a	1							p=0 n=5
continuous-delivery	ArgoCD SHALL sync Atlas migration resources from backend repo	d985e2b9	1							p=0 n=10
continuous-delivery	Migration sync wave SHALL precede application deployment	0c3094ff	1							p=0 n=3
coordinates-vo	Coordinates Value Object	0928dc72	7							p=54 n=0
css-linting	Stylelint enforces modern color functions	fab9a126	3							p=1 n=9
css-linting	Stylelint enforces CSS Logical Properties	c4665fe1	4							p=3 n=8
css-linting	Stylelint enforces Container Queries over viewport-width media queries	c2679bf2	3							p=12 n=5
css-linting	Stylelint prevents CSS anti-patterns	0516f8d1	6							p=2 n=9
css-linting	Stylelint enforces property declaration ordering	87d0d4ed	1							p=3 n=2
css-linting	Stylelint compatible with modern CSS at-rules	b6c61524	2							p=0 n=4
css-linting	Stylelint enforces stacking context management	c119e7fb	2							p=4 n=6
css-linting	Stylelint enforces accessibility media queries	39415478	4							p=6 n=6
css-linting	Stylelint integrated into CI pipeline	98576256	2							p=0 n=8
css-state-management	Three-layer responsibility separation	b0435790	2							p=0 n=0
css-state-management	Discrete visual state via `data-*.bind`	992834a2	4							p=0 n=0
css-state-management	Parent container strategy for shared state flags	22304519	1							p=0 n=0
css-state-management	Total `style` attribute ban in templates	92a0e943	5							p=0 n=1
css-state-management	CSS `attr()` migration path	cee4f55c	1							p=0 n=0
css-state-management	Animation lifecycle via CSS events	40d1fa6c	4							p=3 n=0
css-state-management	No if.bind for visual-only visibility	508f941d	2							p=0 n=3
css-state-management	Custom attributes for JS→CSS bridge only	520d225b	2							p=0 n=0
cube-css-architecture	CUBE CSS layer ordering via `@layer`	6a83dfc2	2							p=5 n=6
cube-css-architecture	CSS entry point at `src/styles/main.css`	862e5a6d	2							p=8 n=0
cube-css-architecture	Design tokens in `tokens.css` as plain CSS custom properties	4fe1defa	2							p=0 n=7
cube-css-architecture	Browser reset in `reset.css` using `:where()` for zero specificity	8cf844c0	2							p=1 n=1
cube-css-architecture	Global layer for base element styling	3d75876a	2							p=1 n=4
cube-css-architecture	Composition layer for layout primitives	3b54bb51	6							p=0 n=4
cube-css-architecture	Utility layer for single-purpose helpers	21880ac6	3							p=4 n=2
cube-css-architecture	Block layer for component-scoped styles	a0cf697a	3							p=2 n=4
cube-css-architecture	Exception layer for state deviations via `data-*` attributes	82085020	6							p=1 n=4
cube-css-architecture	Spacing controlled by parent, not child	49834b90	2							p=2 n=0
cube-css-architecture	No TailwindCSS dependency	a6f53e1f	3							p=0 n=0
cube-css-layer-constraints	`cube/exception-data-attr` requires `data-*` selectors in exception layer	0545c3f3	4							p=0 n=5
cube-css-layer-constraints	`cube/no-visual-in-composition` prohibits visual properties in composition layer	37da0796	6							p=0 n=9
cube-css-layer-constraints	`cube/utility-single-property` limits properties per utility selector	b0fba875	5							p=0 n=8
cube-css-layer-constraints	`cube/block-require-scope` requires `@scope` in block layer	03820073	4							p=1 n=7
cube-css-layer-constraints	`cube/data-attr-naming` restricts data attribute names in exception layer	173703f9	5							p=0 n=4
cube-css-layer-enforcement	`cube/require-layer` rejects CSS rules outside `@layer` blocks	24b4a04b	5							p=2 n=14
