change	old_cap	req_name	disposition	target_path	new_req_name	confidence	rationale
replace-handrolled-with-platform	offscreen-work-suspension	Suspension respects a reduced-motion preference	KEEP	components/infrastructure/fan/web/global/offscreen-work-suspension	Suspension respects a reduced-motion preference	medium	Same shared offscreen-work-suspension contract; interacts with prefers-reduced-motion.
replace-handrolled-with-platform	offscreen-work-suspension	Suspension never changes what is on screen	KEEP	components/infrastructure/fan/web/global/offscreen-work-suspension	Suspension never changes what is on screen	medium	Same shared offscreen-work-suspension contract; last-frame-retained rule.
replace-handrolled-with-platform	offscreen-work-suspension	Teardown releases continuous work	KEEP	components/infrastructure/fan/web/global/offscreen-work-suspension	Teardown releases continuous work	medium	Same shared offscreen-work-suspension contract; cleanup-on-removal rule.
ticket-wallet-and-checkin	ticket-wallet-and-checkin	Ticket wallet renders the ticket and its covered-ticket face	KEEP	components/infrastructure/fan/web/route/tickets	Ticket wallet renders the ticket and its covered-ticket face	high	Direct match - the fan's ticket wallet is the existing 'tickets' route.
ticket-wallet-and-checkin	ticket-wallet-and-checkin	Entry credential is an in-app dynamic QR from a signed short-TTL token	KEEP	components/usecase/ticket/get-entry-credential	Entry credential is an in-app dynamic QR from a signed short-TTL token	medium	Proposed TicketUseCase.GetEntryCredential; no existing method issues the signed short-TTL admission token.
ticket-wallet-and-checkin	ticket-wallet-and-checkin	Validate signature + freshness, then atomic duplicate-check at admit	KEEP	components/usecase/ticket/admit	Validate signature + freshness, then atomic duplicate-check at admit	medium	Proposed TicketUseCase.Admit for server-side scan validation + atomic check-and-set; no existing admit method.
ticket-wallet-and-checkin	ticket-wallet-and-checkin	Reception check-in PWA (web camera)	KEEP	components/infrastructure/organizer/web/route/reception	Reception check-in PWA (web camera)	medium	Proposed new organizer-audience route for event-staff check-in; no reception surface or audience exists in vocabulary beyond fan/admin/organizer.
ticket-wallet-and-checkin	ticket-wallet-and-checkin	Same-time companion group entry	KEEP	components/usecase/ticket/admit	Same-time companion group entry	medium	Partial (M of N) admission is the same proposed Admit operation as the duplicate-check requirement - SPLIT-CANDIDATE with ticket-journey grouping.
ticket-wallet-and-checkin	ticket-wallet-and-checkin	Entry status and no double-entry	KEEP	components/usecase/ticket/admit	Entry status and no double-entry	medium	Re-scan rejection is the result of the proposed Admit operation's atomic check-and-set.
ticket-wallet-and-checkin	ticket-wallet-and-checkin	Void invalidates the entry credential	KEEP	components/usecase/ticket/admit	Void invalidates the entry credential	medium	Server-side rejection of a voided token happens inside the proposed Admit validation step.
refactor-shared-ui-design-system	shared-ui-design-system	Console persistent navigation with no dead-end screens	KEEP	components/infrastructure/organizer/web/global/organizer-shell	Console persistent navigation with no dead-end screens	medium	Console shell contract; written under each console audience (no shared slot).
