change	old_spec	old_req_name	disposition	design_section	delta_action	proposal_action	note
2026-03-15-add-component-smoke-tests	component-smoke-tests	E2E console error smoke test	OUT:delete	Decisions §D5	deleted-file+dir	removed-new-capability	added network-error exclusion from the console-error assertion to D5
2026-02-26-frontend-test-coverage	frontend-testing	Retry interceptor applies exponential backoff on transient errors	OUT:design-doc	Decisions §2	removed-block	none	added createRetryInterceptor's actual retry/backoff/non-retryable-code contract to Decision 2
2026-02-26-frontend-test-coverage	frontend-testing	Test mock helpers cover all tested DI interfaces	OUT:lint	already-covered	removed-block	none	Decision 5 already covers per-interface mock factories + compile-time shape checking
2026-02-26-frontend-test-coverage	frontend-testing	Timer cleanup uses afterEach unconditionally	OUT:lint	already-covered	removed-block	none	Decision 6 already covers moving vi.useRealTimers() to afterEach
2026-03-17-email-verification	authentication	JWT Token Validation	OUT:design-doc	already-covered	removed-block	none	Backend design section's JWTValidator bullet already covers extracting email_verified alongside email
2026-03-17-email-verification	authentication	Email Verified Claim Injection	OUT:design-doc	already-covered	removed-block	none	design.md's Zitadel Action section already states the claim injection + machine-user skip, unchanged
2026-04-17-unblock-fcm-via-private-vip	http-retry	Diagnostic capture of error response body	OUT:runbook	Decisions §D2	deleted-file+dir	removed-modified-capability	added truncation suffix, stream drain/close, and body-read-failure WARN handling to D2
2026-04-17-unblock-fcm-via-private-vip	private-google-access	Reachability of services not protected by VPC Service Controls	OUT:runbook	Decisions §D4	removed-block	none	added the specific pass criterion (app-level 4xx like 405, not the edge 403) to D4's validation gate
2026-06-22-admin-console-concert-management	admin-concert-management	Admin concert operations are served by a single ConcertService	OUT:design-doc	Decisions §D1	removed-block	none	D1 already covers the rename rationale, bare-verb methods, and package-based disambiguation
2026-02-24-remove-audit-timestamps	database	Database tables SHALL NOT include metadata timestamp columns	OUT:design-doc	Decisions §2	deleted-file+dir	removed-modified-capability	added explicit per-table column list and business-timestamp exclusions to Decision 2
2026-05-15-zitadel-permanent-password	identity-management	E2E Test User Password Marked Permanent	OUT:runbook	Migration Plan	deleted-file+dir	removed-modified-capability	design.md D1-D5 + Risks already cover every scenario; added storageState.json verification detail to Migration Plan step 3
2026-05-11-pulumi-state-recovery-runbook	pulumi-state-recovery	State-Recovery Operator Runbook	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	Context/D1/D2/Migration Plan already document the full recovery procedure, footgun, and preferred-path guidance
2026-05-13-k8s-naming-cleanup	zitadel-self-hosted-deployment	Per-Environment Overlay Topology	OUT:design-doc	Decisions §7 (new)	removed-block	none	D1/D2/D3 already cover hostname strategy, replicas/spot, and the prod ArgoCD Application; added new Decision 7 for dev-only resource exclusion (CronJob, DB-grant Job) by omission
