change	old_spec	old_req_name	disposition	design_section	delta_action	proposal_action	note
2026-03-19-standardize-infra-test-and-error-handling	entity-test-coverage	Error path test coverage	OUT:lint	Decisions §5	removed-block	none	new Decision 5 added
2026-03-19-standardize-infra-test-and-error-handling	entity-test-coverage	Infrastructure test go-tester compliance	OUT:lint	already-covered	removed-block	none	Context bullet list + Decision 3 already cover the patterns
2026-03-26-fix-error-log-noise	app-error-log-alerting	Gemini client-cancelled errors classified as client error	OUT:lint	already-covered	deleted-file+dir	removed-modified-capability	Decision 1 already covers the 499 mapping
2026-03-26-fix-error-log-noise	app-error-log-alerting	Infrastructure layer preserves original error types	OUT:lint	already-covered	deleted-file+dir	removed-modified-capability	Decision 2 already covers it
2026-03-26-fix-error-log-noise	app-error-log-alerting	Standard slog output uses structured JSON format	OUT:runbook	already-covered	deleted-file+dir	removed-modified-capability	Decision 3 already covers it
2026-07-28-discovery-perf-instrumentation-and-bubble-cap	frontend-performance-instrumentation	Long animation frames reported to analytics	OUT:runbook	Decisions (Long Animation Frames のフィルタリング)	deleted-file+dir	none	added event name/props + registration scope
2026-07-28-discovery-perf-instrumentation-and-bubble-cap	frontend-performance-instrumentation	Core Web Vitals reported to analytics	OUT:runbook	Decisions (web-vitals.js のバージョン・インポート方式)	deleted-file+dir	none	added event name/props + final-value-only note
2026-07-28-discovery-perf-instrumentation-and-bubble-cap	frontend-performance-instrumentation	Slow interactions reported to analytics	OUT:runbook	Decisions (Event Timing のフィルタリング)	deleted-file+dir	none	added event name/props
2026-03-16-artist-image	artist-image	Fanart Database Storage	OUT:design-doc	already-covered	removed-block	none	Decision 1 already covers the JSONB column + overwrite-on-refresh
2026-03-16-artist-image	artist-image	fanart.tv API Client	OUT:design-doc	Decision 5	removed-block	none	added endpoint, 404, and 429/Retry-After behavior
2026-06-02-reduce-gemini-search-cost	gemini-searcher-config	Configurable search-cache TTL with env-var precedence over default	OUT:design-doc	already-covered	deleted-file+dir	removed-modified-capability	D1 already covers env var, default, and fail-fast validation
2026-06-02-reduce-gemini-search-cost	gemini-searcher-config	Configurable discovery-skip window with env-var precedence over default	OUT:design-doc	already-covered	deleted-file+dir	removed-modified-capability	D1 already covers env var, default, and fail-fast validation
2026-05-20-migrate-zitadel-to-helm-chart	zitadel-self-hosted-deployment	Zitadel Deployment Rendered by Official Helm Chart	OUT:design-doc	already-covered	removed-block	none	D1/D2/D5 already cover chart integration, naming, values layering
2026-05-20-migrate-zitadel-to-helm-chart	zitadel-self-hosted-deployment	Login V2 UI Routes Outbound Calls Via Cluster-Internal Service Using CUSTOM_REQUEST_HEADERS	OUT:design-doc	already-covered	removed-block	none	D6 already covers this pattern in full
2026-03-21-fix-zitadel-id-resolution	id-resolution	RPC handlers resolve Zitadel external ID to internal UUID before database access	OUT:design-doc	already-covered	removed-block	none	Decision 1 + Context already name the three handlers and the pattern
2026-03-12-refactor-usecase-layer-boundaries	proximity-model	Haversine in pkg/geo	OUT:design-doc	already-covered	removed-block	none	Decision 9 + Decision 10 table already cover this
2026-05-13-rename-zitadel-machine-keys	zitadel-self-hosted-deployment	GSM Naming Convention for Zitadel MachineKey Credentials	OUT:design-doc	already-covered	removed-block	none	D1 already covers the naming convention and rationale
