old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
identity-management	Manage Zitadel Organization	OUT:runbook					high	Zitadel org topology (admin/liverty-music/tenant orgs) provisioned via Pulumi IaC and one-time import; infra/identity-platform provisioning, not the product's own API/UI
identity-management	Manage Zitadel Project	OUT:runbook					high	zitadel.Project Pulumi resource provisioning; infra provisioning
identity-management	Manage OIDC Application	OUT:runbook					high	ApplicationOidc Pulumi provisioning and client_id delivery via ConfigMap; infra provisioning (the runtime-config consumption itself is covered by the frontend-runtime-config capability)
infra	KEDA-managed Deployments SHALL NOT declare replicas	OUT:design-doc					high	Kustomize base manifest convention for KEDA-managed Deployments; infra/deployment manifest rule
infra	ArgoCD SHALL ignore replicas drift for KEDA-managed Deployments	OUT:design-doc					high	ArgoCD ignoreDifferences GitOps config for KEDA-scaled Deployments; infra/deployment config
jetstream-consumer-reliability	Subscription failure fails loud	OUT:runbook					high	consumer startup failure-mode policy (crash instead of running degraded); operational resilience procedure, generic across all consumers
jetstream-consumer-reliability	Liveness reflects consumption health	OUT:runbook					high	Kubernetes liveness/readiness probe semantics tied to durable binding; operational procedure
jetstream-consumer-reliability	Consumers are named by behavior, with a unique deliver group	OUT:design-doc					high	durable/deliver-group naming convention (verb-object vocabulary); messaging-infra naming convention
jetstream-consumer-reliability	Every handler receives every message (fan-out)	OUT:design-doc					high	generic messaging fan-out architecture (one consumer per handler) applied across all subjects; cross-cutting messaging-infra design, not a specific pipeline's product contract
jetstream-consumer-reliability	Subjects are named as past-tense events	OUT:design-doc					high	NATS subject naming convention; messaging-infra naming convention
jetstream-consumer-reliability	KEDA triggers reference the live behavior-named durables	OUT:design-doc					high	consistency rule between application durable names and KEDA ScaledObject config; deployment config consistency
jetstream-consumer-reliability	Stream and durable configuration is managed declaratively by a single owner	OUT:design-doc					high	ownership/reconciliation architecture for JetStream stream and consumer config; messaging-infra ops architecture
jetstream-consumer-reliability	A consumer may scale to zero without losing its durable	OUT:runbook					high	KEDA scale-to-zero autoscaling behavior for consumer workloads; operational/infra autoscaling behavior
live-events	Proto Value Object Consistency	KEEP	components/entity/concert	Proto Value Object Consistency			medium	defines validation/semantic constraints on Concert and Event fields (non-empty Title, URI-validated SourceUrl, typed LocalDate/StartTime/OpenTime) -- these are entity data-semantics invariants, not merely internal typing style. Also touches components/entity/event; Concert chosen as the dominant/primary entity (SPLIT-CANDIDATE)
live-events	Go Entity Field Name Alignment	OUT:design-doc					high	Go struct field rename (LocalEventDate -> LocalDate) to match the proto VO field name already covered by the Proto Value Object Consistency requirement; pure internal code alignment, no external behavior change
logo-color-analysis	sRGB to OKLCH Conversion	OUT:design-doc					high	sRGB->OKLCH matrix-math conversion algorithm using stdlib-only types; a technology/implementation choice (decision-tree category OUT:design-doc), not itself a distinct product-facing contract
organizer-accounts	Organizer lifecycle emits analytics events	OUT:design-doc					high	backend analytics-event emission (organizer.created, organizer.artist.associated); pass1-prompt tie-break rule states telemetry -> OUT explicitly
organizer-console	Bundle isolation from the consumer SPA and admin console	OUT:design-doc					high	separate Vite entry point / chunk-graph isolation and Core Web Vitals non-regression; frontend build/bundling implementation choice
organizer-console	Organizer runtime config resolves the org at login	OUT:design-doc					high	/config.json shape/config-loading detail; the actual org-resolution UX (org-pinned entry) is covered by a separate story, this row is only the config-loading implementation detail
push-notification-service	Per-browser scoping for repository operations	OUT:design-doc					high	PushSubscriptionRepository interface surface constraints; internal repository-interface architecture, the actual Create/Get/Delete/Notify behaviors are separately covered by their own usecase requirements
push-notification-service	Notification consumer is a thin adapter over the use case	OUT:design-doc					high	consumer-handler architecture (thin adapter, no direct repo deps); internal handler-layering pattern
rpc-auth-scoping	Shared JWT-match helper	OUT:design-doc					high	internal helper-function reuse/location convention (requireMatchingUserID in internal/adapter/rpc/); code-organization convention, distinct from the authorization rule itself which is captured separately
ticket-journey	Ticket Journey Database Schema	OUT:design-doc					high	physical Postgres table/column/type layout and SQL upsert clause; the entity composite-key identity semantics it overlaps with are already captured as a TicketJourney entity invariant elsewhere, this row is storage-layer implementation only
user-profile-hydration	User profile hydration at app startup	OUT:design-doc					high	startup timing/orchestration of UserService.Get into an in-memory store; internal fetch-timing/caching strategy, not a distinct entity or API contract
user-profile-hydration	User profile hydration after auth callback	OUT:design-doc					high	ensureLoaded() orchestration timing around the auth callback; internal orchestration detail
user-profile-hydration	Idempotent profile loading	OUT:design-doc					high	ensureLoaded() idempotency guard against redundant RPCs; internal caching-strategy implementation detail, not RPC-level idempotency contract
user-profile-hydration	Graceful degradation on hydration failure	OUT:design-doc					high	startup error-handling fallback keeping current undefined; internal resilience of the in-memory cache orchestration
user-profile-hydration	Write-through on user mutation	OUT:design-doc					high	in-memory cache write-through on mutation RPC responses; internal state-sync implementation detail
user-profile-hydration	Profile cleared on sign-out	OUT:design-doc					high	in-memory cache clear on sign-out; internal cache-lifecycle cleanup of the same frontend caching architecture
venue-normalization	PlaceSearcher Is Required	OUT:design-doc					high	nil-dependency constructor guard on ConcertCreationUseCase; defensive-programming/DI-wiring implementation detail
frontend-testing	Auth retry interceptor refreshes tokens on Unauthenticated errors	NEEDS_HUMAN					low	"user-visible via silent refresh + redirect to /welcome on failure, but the Connect-RPC auth-retry interceptor is cross-cutting (applies to every RPC call) with no fitting vocabulary target (not a route, not a global UI surface, not a single usecase); duplicates http-retry's more detailed ""Deduplicated auth token refresh on concurrent 401s"""
frontend-testing	Retry interceptor applies exponential backoff on transient errors	OUT:design-doc					high	generic RPC transport retry-with-backoff for Unavailable/DeadlineExceeded; transparent resilience mechanism with no distinct authorization/business outcome, analogous to the backend http-retry policy (also OUT)
http-retry	Deduplicated auth token refresh on concurrent 401s	NEEDS_HUMAN					low	user-visible via session-clear/redirect to /welcome on failure, but the singleton-refresh-promise interceptor is cross-cutting (spans every RPC call) with no fitting vocabulary target (not a route, not a global UI surface, not a usecase)
organizer-rpc-server	Org-scoped authorization from the role claim	KEEP	components/entity/organizer	Org-scoped authorization from the role claim			high	cross-cutting API authorization rule protecting the Organizer entity (role-claim/org validation, active/deactivated precondition, ListArtists org-scoping) spanning multiple RPCs -- fits the entity-authorization-rule pattern exactly like the rpc-auth-scoping per-user rule
rpc-auth-scoping	Explicit user_id in authenticated per-user RPC bodies	KEEP	components/entity/user	Explicit user_id in authenticated per-user RPC bodies	RPC-USER-ID-SCOPING		high	"textbook cross-cutting API authorization rule protecting the User entity (""per-user RPCs require the caller's own user_id"") -- this is the exact example given in pass1-prompt for components/entity/<entity> placement"
rpc-auth-scoping	Creation RPCs are exempt from the user_id convention	KEEP	components/entity/user	Creation RPCs are exempt from the user_id convention	RPC-USER-ID-SCOPING		high	corollary exemption of the same cross-cutting per-user user_id authorization rule; belongs with the same User entity invariant
