old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
k8s-resource-right-sizing	KEDA ScaledObjects in dev SHALL cap at maxReplicaCount 1	OUT:runbook					high	event-consumer ScaledObject maxReplicaCount cap in dev; autoscaler cost-control policy, no product behavior
localstorage-naming	Unified key naming convention	OUT:lint					high	`[<scope>.]<camelCase>` naming pattern for StorageKeys constants; frontend code-naming convention, not user-observable behavior
modern-css-platform	CSS `:has()` selector for state-based styling	OUT:design-doc					medium	mandates :has() over JS class toggling for nav/form parent styling; modern-css-platform's own Purpose frames every requirement as a CSS-vs-JS implementation-technique mandate (stylelint-enforced); the underlying user-visible behavior it illustrates belongs to the owning UI component/route spec, not here
modern-css-platform	CSS Logical Properties	OUT:design-doc					high	property-disallowed-list stylelint rule banning physical margin/padding/border properties; authoring convention for i18n-readiness, not product behavior
modern-css-platform	CSS `@layer` for cascade management	OUT:design-doc					high	cube/require-layer stylelint rule enforcing the reset/tokens/global/... cascade order in src/styles/main.css; cascade-architecture decision, not product behavior
modern-css-platform	CSS `@scope` for component isolation	OUT:design-doc					high	cube/block-require-scope stylelint rule requiring @scope() per component CSS file; style-isolation implementation technique, not product behavior
modern-css-platform	No viewport media queries for component responsiveness	OUT:design-doc					high	restates the already-kept Container Queries requirement as a stylelint warn-rule on viewport media queries; enforcement mechanism only
modern-css-platform	OKLCH color enforcement	OUT:design-doc					high	stylelint rule rejecting rgb()/hsl()/hex in favor of oklch(); color-function technology choice, not user-observable product behavior
modern-css-platform	Anchored Container Query for position-dependent child styling	OUT:design-doc					medium	mandates container-type:anchored over JS getBoundingClientRect() for tooltip arrow direction; modern-css-platform's own Purpose frames every requirement as a CSS-vs-JS implementation-technique mandate (stylelint-enforced); the underlying user-visible behavior it illustrates belongs to the owning UI component/route spec, not here
modern-css-platform	CSS `@starting-style` for entry animations on dynamic elements	OUT:design-doc					high	mandates @starting-style over requestAnimationFrame deferrals for toast/popover entry animation; animation-implementation technique, not product behavior
modern-css-platform	`transitionend` event for post-animation DOM cleanup	OUT:design-doc					high	mandates transitionend over setTimeout for post-transition DOM removal; cleanup-implementation technique, not product behavior
modern-css-platform	`overscroll-behavior: contain` for scroll isolation	OUT:design-doc					high	CSS property mandate for scroll containment inside bottom-sheet/overlay scroll containers; implementation technique, not product behavior
modern-css-platform	`scrollIntoView` + `scrollend` for scroll-then-act patterns	OUT:design-doc					high	mandates scrollIntoView()+scrollend over getBoundingClientRect() polling for coach-mark spotlight sequencing; DOM API choice, not product behavior
modern-css-platform	`data-state` attribute for CSS animation state	OUT:design-doc					high	mandates data-state attribute selectors over JS classList toggling for enter/exit CSS transitions; authoring convention, not product behavior
modern-css-platform	`color-mix()` for dynamic alpha	OUT:design-doc					high	mandates color-mix(in oklch, ...) over hex-alpha string concatenation; CSS function choice, not product behavior
modern-css-platform	`translate` shorthand for transforms	OUT:design-doc					high	mandates the translate CSS property over transform:translateX/Y(); property-choice implementation detail, not product behavior
modern-css-platform	No setTimeout for CSS animation timing	OUT:design-doc					high	bans setTimeout durations mirroring CSS transition/animation durations in TypeScript; coding convention, not product behavior
modern-css-platform	CSS scroll snap for bottom sheet dismiss gestures	OUT:design-doc					medium	mandates scroll-snap-type over touchstart/touchmove/touchend handlers for the bottom-sheet swipe-to-dismiss gesture; modern-css-platform's own Purpose frames every requirement as a CSS-vs-JS implementation-technique mandate (stylelint-enforced); the underlying user-visible behavior it illustrates belongs to the owning UI component/route spec, not here
modern-css-platform	No JS-to-CSS variable bridge custom attributes	OUT:design-doc					high	bans custom attributes that only call element.style.setProperty(); an anti-pattern removal (coding convention), not product behavior
modern-css-platform	Scroll-driven Animations for scroll-linked effects	OUT:design-doc					high	mandates animation-timeline:scroll() over JS scroll listeners for progress indicators/parallax; animation-implementation technique, not product behavior
prod-image-pipeline	Prod container images SHALL be sourced exclusively from the prod project's Artifact Registry	OUT:runbook					high	requires fan-api/event-consumer/concert-discovery-app/artist-image-sync-app/fan-web-app images to come from liverty-music-prod AR; cluster image-sourcing/IAM constraint, no product behavior
prod-image-pipeline	Prod cluster service accounts SHALL NOT hold cross-project Artifact Registry IAM grants	OUT:runbook					high	forbids gke-node@/backend-app@liverty-music-prod IAM roles on the dev AR project; IAM security constraint, no product behavior
prod-image-pipeline	CI service accounts MAY hold scoped cross-project AR reader for image promotion	OUT:runbook					high	scopes github-actions@liverty-music-prod's artifactregistry.reader grant to specific dev AR repos; CI IAM constraint, no product behavior
prod-image-pipeline	Frontend prod image SHALL be env-agnostic at the bundle level	OUT:design-doc					high	requires the frontend Dockerfile/Vite build to emit no env-specific literals so config comes from /config.json at request time; build/bundle architecture decision, no product behavior
prod-image-pipeline	Backend prod images SHALL be promoted to prod AR on GitHub Release tags	OUT:runbook					high	deploy.yml crane-copy promotion of dev AR digests to prod AR on GitHub Release; release-CI mechanics, no product behavior
prod-image-pipeline	Frontend prod image SHALL be promoted to prod AR on GitHub Release tags	OUT:runbook					high	push-image.yaml crane-copy promotion of the fan-web dev AR digest to prod AR on GitHub Release; release-CI mechanics, no product behavior
prod-image-pipeline	Prod kustomize overlays SHALL pin image URIs to prod-AR paths	OUT:runbook					high	kustomize images: transform rewriting rendered image URIs to liverty-music-prod AR paths; overlay mechanics, no product behavior
prod-image-pipeline	Every main commit SHALL have a resolvable dev AR image	OUT:runbook					high	deploy.yml/push-image.yaml build-or-inherit CI pipeline guaranteeing every main commit has a dev AR image; CI build mechanics, no product behavior
prod-image-pipeline	Prod kustomize pin-bumps SHALL be automated via repository_dispatch	OUT:runbook					high	deploy.yml/push-image.yaml emitting a bump-prod-pin repository_dispatch to cloud-provisioning; cross-repo CI dispatch mechanics, no product behavior
prod-image-pipeline	A cloud-provisioning workflow SHALL apply the prod pin-bump on dispatch	OUT:runbook					high	bump-prod-pin.yml rewriting kustomization.yaml newTag/version-label and pushing to main; CI workflow mechanics, no product behavior
prod-image-pipeline	cloud-provisioning main ruleset SHALL allow the ci-bot App to bypass for the pin-bump push	OUT:runbook					high	repo ruleset bypass-actor configuration for the liverty-music-ci-bot GitHub App; repo governance mechanics, no product behavior
prod-image-pipeline	The manual pin-bump fallback SHALL be admin-gated	OUT:runbook					high	workflow_dispatch fallback on bump-prod-pin.yml gated by the prod-pin GitHub Environment reviewer rule; admin-approval workflow mechanics, no product behavior
prod-image-tag-immutability	Non-dev Artifact Registry Docker repositories SHALL enforce tag immutability at the registry API level	OUT:runbook					high	gcp.artifactregistry.Repository dockerConfig.immutableTags=true Pulumi provisioning for non-dev projects; registry provisioning policy, no product behavior
prod-image-tag-immutability	Prod kustomize overlays SHALL pin image URIs to semantic version tags	OUT:runbook					high	kustomization.yaml newTag: semver regex + banned :latest/:sha values; overlay convention, no product behavior
prod-image-tag-immutability	Prod workload Deployments and CronJobs SHALL carry the app.kubernetes.io/version Recommended Label, propagated to the Pod template	OUT:runbook					high	kustomize labels: patch propagating app.kubernetes.io/version to Deployment/CronJob/Pod templates for Prometheus/OTel; observability labeling convention, no product behavior
prod-image-tag-immutability	A runbook SHALL document the prod image tag pinning policy	OUT:runbook					high	explicitly requires docs/runbooks/prod-image-tag-pinning.md; documentation deliverable, no product behavior
prod-k8s-manifests	Prod cluster SHALL run a full ArgoCD Application set matching dev's structure	OUT:design-doc					high	requires the 14 ArgoCD Application manifests under k8s/argocd-apps/prod/ mirroring dev's sync-wave structure; deployment topology decision, no product behavior
prod-k8s-manifests	Every prod namespace under `k8s/namespaces/` SHALL have a `prod/` overlay	OUT:design-doc					high	requires overlays/prod/kustomization.yaml to exist and render for each of the 11 namespaces; Kustomize overlay structure requirement, no product behavior
prod-k8s-manifests	Prod overlays SHALL diverge from dev only by ESC secret refs, hostnames, ArgoCD project labels, and replica counts	OUT:design-doc					high	constrains the scope of prod-overlay kustomize patches (design D8); overlay patch-scope decision, no product behavior
prod-k8s-manifests	Prod Gateway SHALL bind to the existing api-gateway-static-ip and serve api./auth. hostnames	OUT:design-doc					high	Gateway CR static-IP binding and HTTPRoute hostname config for api.liverty-music.app/auth.liverty-music.app, applying the already-canonical zitadel-self-hosted-deployment routing split to the prod overlay; infra topology convergence, no new product behavior
prod-k8s-manifests	Prod cluster SHALL opt application workloads into GMP via per-workload PodMonitoring CRDs	OUT:design-doc					high	PodMonitoring CRD opt-in pattern (backend/zitadel podmonitoring.yaml) for Google Managed Prometheus ingestion; metrics-ingestion configuration, no product behavior
pulumi-state-recovery	State-Recovery Operator Runbook	OUT:runbook					high	docs/runbooks/pulumi-state-recovery.md documenting `pulumi state delete`/`pulumi stack import` incident recovery; operator runbook, no product behavior
schema-lint	SERIAL and BIGSERIAL detection	OUT:lint					high	schema.sql linter rule banning SERIAL/BIGSERIAL; DB code-style rule, no product behavior
schema-lint	Bare TIMESTAMP detection	OUT:lint					high	schema.sql linter rule banning bare TIMESTAMP (requires TIMESTAMPTZ); DB code-style rule, no product behavior
schema-lint	Audit column detection	OUT:lint					high	schema.sql linter rule banning created_at/updated_at/deleted_at columns; DB code-style rule, no product behavior
schema-lint	VARCHAR detection	OUT:lint					high	schema.sql linter rule banning VARCHAR(n) in favor of TEXT+CHECK; DB code-style rule, no product behavior
schema-lint	COMMENT ON TABLE coverage	OUT:lint					high	schema.sql linter rule requiring COMMENT ON TABLE per CREATE TABLE; documentation-coverage lint rule, no product behavior
schema-lint	COMMENT ON COLUMN coverage	OUT:lint					high	schema.sql linter rule requiring one COMMENT ON COLUMN per column; documentation-coverage lint rule, no product behavior
schema-lint	Makefile integration	OUT:lint					high	`make lint-schema` / `make check` wiring for the schema linter; build-tooling wiring, no product behavior
schema-lint	CI integration	OUT:lint					high	lint.yml CI job triggered on schema.sql changes; CI wiring, no product behavior
schema-lint	Comment-line exclusion	OUT:lint					high	schema linter ignores `--` comment lines when checking violations; linter implementation detail, no product behavior
zitadel-action-webhook	Webhook Authentication via Zitadel-Issued JWT Signature	NEEDS_HUMAN					low	defines a real API auth contract for POST /pre-access-token (JWKS signature check, no iss/aud enforcement, HTTP 401 on bad signature, HTTP 400 on missing/malformed JWT body) which the corrected criterion explicitly includes ('authorization rules', 'error codes'); no vocabulary usecase/entity fits a webhook handler (sibling requirement 'Pre-Access-Token Webhook Endpoint' was also OUT'd under the old criterion in pass1/batch-07 and is outside this batch) so target_path cannot be assigned confidently
zitadel-action-webhook	Webhook Reachable Only Within Cluster	OUT:runbook					high	fan-api-webhook-svc on :9090 ClusterIP-only vs public fan-api-svc :8080/authn.Middleware; in-cluster Service/port network topology, no product behavior
